,BC,AB,SK,MB,ON,QC,NB,NS,NL,PE
2019,211.95,311.83,82.29,79.68,513.59,649.79,49.43,38.95,37.5,5.88
2020,205.92,300.37,77.17,75.52,468.78,625.64,47.68,36.46,35.46,5.36
2021,219.09,319.26,82.69,78.45,495.26,640.4,48.48,37.72,36.95,6.02
2022,227.61,325.53,84.71,78.79,499.56,649.62,48.62,38.07,37.28,6.07
2023,236.2,332.15,86.2,78.88,501.23,655.05,48.48,38.36,37.33,6.12
2024,245.21,340.42,87.75,79.43,504.17,663.65,48.64,38.62,37.72,6.15
2025,254.38,345.05,89.01,79.99,508.49,670.54,48.64,38.86,37.74,6.19
2026,264.71,349.77,90.69,80.65,511.33,678.37,48.68,38.97,37.85,6.24
2027,271.03,354.52,92.2,81.36,515.46,686.7,48.77,39.14,37.94,6.29
2028,276.91,359.32,93.66,82.09,518.91,695.99,48.86,39.28,38.11,6.36
2029,282.3,363.2,95.03,82.89,522.78,705.24,48.96,39.46,38.28,6.44
2030,290.28,367.94,96.38,83.55,526.29,715.14,49.05,39.58,38.38,6.52
2031,299.12,373.73,97.74,84.3,530.23,725.59,49.15,39.76,38.46,6.61
2032,308.23,378.4,98.96,85.03,534.44,736.17,49.2,39.97,38.52,6.69
2033,314.66,382.61,100.19,85.74,538.55,745.72,49.2,40.15,38.61,6.77
2034,319.5,386.81,101.39,86.38,542.33,754.31,49.21,40.35,38.76,6.85
2035,323.94,391.13,102.47,86.95,546.19,762.25,49.18,40.57,38.83,6.93
2036,328.01,394.6,103.38,87.43,549.71,769.35,49.13,40.8,38.89,7
2037,331.94,398.02,104.32,87.87,553.2,776.24,49.24,41.07,38.97,7.1
2038,338.61,401.53,105.31,88.29,556.86,783.4,49.28,41.34,39.03,7.2
2039,345.9,405.09,106.31,88.72,560.55,790.89,49.34,41.61,39.13,7.3
2040,349.51,408.18,107.25,89.12,564.36,796.51,49.38,41.89,39.14,7.4
2041,353.06,411.23,108.12,89.58,568.42,802.26,49.37,42.18,39.17,7.51
2042,355.05,414.22,109.02,90.1,572.58,807.9,48.95,42.43,39.17,7.59
2043,361.02,417.35,109.95,90.63,576.95,813.57,48.59,42.9,39.15,7.63
2044,366.46,420.85,110.93,91.18,581.63,819.81,48.28,43.41,39.12,7.73
2045,368.74,424.06,111.9,91.79,586.29,825.7,48.3,43.61,39.12,7.85
2046,370.86,426.91,112.82,92.35,590.8,828.13,48.36,43.77,39.13,7.9
2047,372.92,429.68,113.74,92.91,595.34,833.48,48.37,44.22,39.15,8.03
2048,374.94,432.4,114.59,93.42,599.93,836.25,48.42,44.72,39.22,8.16
2049,376.99,435.31,115.49,93.95,604.64,841.34,48.45,45.27,39.31,8.29
2050,378.96,437.85,116.28,94.45,609.23,844.53,48.56,45.78,39.4,8.37
