PROVINCE,MONTH,DAY,HOUR,VALUE
BC,1,1,1,7361.0
BC,1,1,2,7214.0
BC,1,1,3,7096.0
BC,1,1,4,7034.0
BC,1,1,5,7088.0
BC,1,1,6,7188.0
BC,1,1,7,7380.0
BC,1,1,8,7630.0
BC,1,1,9,7856.0
BC,1,1,10,8054.0
BC,1,1,11,8188.0
BC,1,1,12,8161.0
BC,1,1,13,8183.0
BC,1,1,14,8181.0
BC,1,1,15,8149.0
BC,1,1,16,8280.0
BC,1,1,17,8710.0
BC,1,1,18,9010.0
BC,1,1,19,8884.0
BC,1,1,20,8687.0
BC,1,1,21,8513.0
BC,1,1,22,8175.0
BC,1,1,23,7784.0
BC,1,1,24,7314.0
BC,1,2,1,7076.0
BC,1,2,2,6915.0
BC,1,2,3,6861.0
BC,1,2,4,6841.0
BC,1,2,5,6983.0
BC,1,2,6,7341.0
BC,1,2,7,7948.0
BC,1,2,8,8566.0
BC,1,2,9,8798.0
BC,1,2,10,8949.0
BC,1,2,11,9013.0
BC,1,2,12,9031.0
BC,1,2,13,9057.0
BC,1,2,14,9092.0
BC,1,2,15,9087.0
BC,1,2,16,9145.0
BC,1,2,17,9582.0
BC,1,2,18,9793.0
BC,1,2,19,9621.0
BC,1,2,20,9373.0
BC,1,2,21,9078.0
BC,1,2,22,8787.0
BC,1,2,23,8179.0
BC,1,2,24,7708.0
BC,1,3,1,7261.0
BC,1,3,2,7070.0
BC,1,3,3,6977.0
BC,1,3,4,6992.0
BC,1,3,5,7012.0
BC,1,3,6,7324.0
BC,1,3,7,7856.0
BC,1,3,8,8462.0
BC,1,3,9,8695.0
BC,1,3,10,8852.0
BC,1,3,11,8869.0
BC,1,3,12,8859.0
BC,1,3,13,8869.0
BC,1,3,14,8860.0
BC,1,3,15,8785.0
BC,1,3,16,8818.0
BC,1,3,17,9246.0
BC,1,3,18,9391.0
BC,1,3,19,9129.0
BC,1,3,20,8970.0
BC,1,3,21,8664.0
BC,1,3,22,8300.0
BC,1,3,23,7799.0
BC,1,3,24,7303.0
BC,1,4,1,6979.0
BC,1,4,2,6745.0
BC,1,4,3,6654.0
BC,1,4,4,6641.0
BC,1,4,5,6736.0
BC,1,4,6,7070.0
BC,1,4,7,7684.0
BC,1,4,8,8251.0
BC,1,4,9,8422.0
BC,1,4,10,8506.0
BC,1,4,11,8515.0
BC,1,4,12,8456.0
BC,1,4,13,8368.0
BC,1,4,14,8304.0
BC,1,4,15,8263.0
BC,1,4,16,8298.0
BC,1,4,17,8823.0
BC,1,4,18,9062.0
BC,1,4,19,8936.0
BC,1,4,20,8670.0
BC,1,4,21,8403.0
BC,1,4,22,8088.0
BC,1,4,23,7682.0
BC,1,4,24,7267.0
BC,1,5,1,6887.0
BC,1,5,2,6660.0
BC,1,5,3,6520.0
BC,1,5,4,6453.0
BC,1,5,5,6483.0
BC,1,5,6,6609.0
BC,1,5,7,6882.0
BC,1,5,8,7313.0
BC,1,5,9,7683.0
BC,1,5,10,7929.0
BC,1,5,11,7995.0
BC,1,5,12,8041.0
BC,1,5,13,8012.0
BC,1,5,14,7988.0
BC,1,5,15,7948.0
BC,1,5,16,8023.0
BC,1,5,17,8444.0
BC,1,5,18,8689.0
BC,1,5,19,8515.0
BC,1,5,20,8282.0
BC,1,5,21,8059.0
BC,1,5,22,7782.0
BC,1,5,23,7414.0
BC,1,5,24,7074.0
BC,1,6,1,6777.0
BC,1,6,2,6581.0
BC,1,6,3,6467.0
BC,1,6,4,6471.0
BC,1,6,5,6598.0
BC,1,6,6,6694.0
BC,1,6,7,6903.0
BC,1,6,8,7283.0
BC,1,6,9,7636.0
BC,1,6,10,7919.0
