PROVINCE,CAPACITY (MW),COMISSION,RETIREMENT,TECHNOLOGY,Ref_1,Ref_2
AB,540,1966,0,COA,https://en.wikipedia.org/wiki/Battle_River_Generating_Station,
NB,450,1993,2030,COA,https://en.wikipedia.org/wiki/Belledune_Generating_Station,
SK,605,1970,0,COA,https://en.wikipedia.org/wiki/Boundary_Dam_Power_Station,
SK,160,2013,0,COC,https://en.wikipedia.org/wiki/Boundary_Dam_Power_Station,
AB,1376,1990,2030,COA,https://en.wikipedia.org/wiki/Genesee_Generating_Station,
AB,1376,2030,0,CCG,https://en.wikipedia.org/wiki/Genesee_Generating_Station,
AB,75,1972,0,COA,https://en.wikipedia.org/wiki/H._R._Milner_Generating_Station,
AB,75,2019,0,CCG,https://en.wikipedia.org/wiki/H._R._Milner_Generating_Station,
AB,840,1983,0,COA,https://en.wikipedia.org/wiki/Keephills_Generating_Station,
AB,463,2011,0,COA,https://en.wikipedia.org/wiki/Keephills_Generating_Station,
NS,620,1979,0,COA,https://en.wikipedia.org/wiki/Lingan_Generating_Station,
NS,185,1994,0,COA,https://en.wikipedia.org/wiki/Point_Aconi_Generating_Station,
NS,150,1973,0,COA,https://en.wikipedia.org/wiki/Point_Tupper_Generating_Station,
SK,582,1981,2030,COA,https://en.wikipedia.org/wiki/Poplar_River_Power_Station,
SK,279,1992,2030,COA,https://en.wikipedia.org/wiki/Shand_Power_Station,
AB,780,1986,0,COA,https://en.wikipedia.org/wiki/Sheerness_Generating_Station,
AB,1861,1980,0,COA,https://en.wikipedia.org/wiki/Sundance_Power_Station,
NS,310,1969,0,COA,https://en.wikipedia.org/wiki/Trenton_Generating_Station,
ON,760,1977,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,760,1977,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,750,1978,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,750,1979,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,817,1985,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,817,1984,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,817,1986,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,817,1987,0,URN,https://en.wikipedia.org/wiki/Bruce_Nuclear_Generating_Station,
ON,878,1992,0,URN,https://en.wikipedia.org/wiki/Darlington_Nuclear_Generating_Station,
ON,878,1990,0,URN,https://en.wikipedia.org/wiki/Darlington_Nuclear_Generating_Station,
ON,878,1993,0,URN,https://en.wikipedia.org/wiki/Darlington_Nuclear_Generating_Station,
ON,878,1993,0,URN,https://en.wikipedia.org/wiki/Darlington_Nuclear_Generating_Station,
ON,515,1972,0,URN,https://en.wikipedia.org/wiki/Pickering_Nuclear_Generating_Station,
ON,515,1973,0,URN,https://en.wikipedia.org/wiki/Pickering_Nuclear_Generating_Station,
