TECHNOLOGY,INFUEL,IAR,OUTFUEL,OAR,MODE,CAPACITY (GW),DECOMISSION YEAR,CAPEX,Fixed O&M,Variable O&M,Fuel,Distance,StClairFunc
TRNUSAMNUSANW,ELCUSAMN02,1.05,ELCUSANW01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSAMNUSANW,ELCUSANW02,1.05,ELCUSAMN01,1,2,x,x,x,x,x,x,x,x
TRNUSACAUSANW,ELCUSACA02,1.05,ELCUSANW01,1,1,3555.555556,2060,1000,0.0054,0,0,800,0.675
TRNUSACAUSANW,ELCUSANW02,1.05,ELCUSACA01,1,2,x,x,x,x,x,x,x,x
TRNUSACAUSAMN,ELCUSACA02,1.05,ELCUSAMN01,1,1,3555.555556,2060,1000,0.0054,0,0,800,0.675
TRNUSACAUSAMN,ELCUSAMN02,1.05,ELCUSACA01,1,2,x,x,x,x,x,x,x,x
TRNUSACAUSASW,ELCUSACA02,1.05,ELCUSASW01,1,1,3555.555556,2060,1000,0.0054,0,0,800,0.675
TRNUSACAUSASW,ELCUSASW02,1.05,ELCUSACA01,1,2,x,x,x,x,x,x,x,x
TRNUSACEUSAMN,ELCUSACE02,1.05,ELCUSAMN01,1,1,1851.851852,2060,1000,0.0054,0,0,500,0.81
TRNUSACEUSAMN,ELCUSAMN02,1.05,ELCUSACE01,1,2,x,x,x,x,x,x,x,x
TRNUSAMNUSASW,ELCUSAMN02,1.05,ELCUSASW01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSAMNUSASW,ELCUSASW02,1.05,ELCUSAMN01,1,2,x,x,x,x,x,x,x,x
TRNUSASWUSATX,ELCUSASW02,1.05,ELCUSATX01,1,1,2916.666667,2060,1000,0.0054,0,0,700,0.72
TRNUSASWUSATX,ELCUSATX02,1.05,ELCUSASW01,1,2,x,x,x,x,x,x,x,x
TRNUSACEUSATX,ELCUSACE02,1.05,ELCUSATX01,1,1,2916.666667,2060,1000,0.0054,0,0,700,0.72
TRNUSACEUSATX,ELCUSATX02,1.05,ELCUSACE01,1,2,x,x,x,x,x,x,x,x
TRNUSACEUSAMW,ELCUSACE02,1.05,ELCUSAMW01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSACEUSAMW,ELCUSAMW02,1.05,ELCUSACE01,1,2,x,x,x,x,x,x,x,x
TRNUSAALUSACE,ELCUSAAL02,1.05,ELCUSACE01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSAALUSACE,ELCUSACE02,1.05,ELCUSAAL01,1,2,x,x,x,x,x,x,x,x
TRNUSAALUSATX,ELCUSAAL02,1.05,ELCUSATX01,1,1,1851.851852,2060,1000,0.0054,0,0,500,0.81
TRNUSAALUSATX,ELCUSATX02,1.05,ELCUSAAL01,1,2,x,x,x,x,x,x,x,x
TRNUSAALUSAMW,ELCUSAAL02,1.05,ELCUSAMW01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSAALUSAMW,ELCUSAMW02,1.05,ELCUSAAL01,1,2,x,x,x,x,x,x,x,x
TRNUSAMAUSAMW,ELCUSAMA02,1.05,ELCUSAMW01,1,1,3555.555556,2060,1000,0.0054,0,0,800,0.675
TRNUSAMAUSAMW,ELCUSAMW02,1.05,ELCUSAMA01,1,2,x,x,x,x,x,x,x,x
TRNUSAMWUSASE,ELCUSAMW02,1.05,ELCUSASE01,1,1,3555.555556,2060,1000,0.0054,0,0,800,0.675
TRNUSAMWUSASE,ELCUSASE02,1.05,ELCUSAMW01,1,2,x,x,x,x,x,x,x,x
TRNUSAALUSASE,ELCUSAAL02,1.05,ELCUSASE01,1,1,2352.941176,2060,1000,0.0054,0,0,600,0.765
TRNUSAALUSASE,ELCUSASE02,1.05,ELCUSAAL01,1,2,x,x,x,x,x,x,x,x
TRNUSAFLUSASE,ELCUSAFL02,1.05,ELCUSASE01,1,1,1851.851852,2060,1000,0.0054,0,0,500,0.81
TRNUSAFLUSASE,ELCUSASE02,1.05,ELCUSAFL01,1,2,x,x,x,x,x,x,x,x
TRNUSAMAUSASE,ELCUSAMA02,1.05,ELCUSASE01,1,1,1851.851852,2060,1000,0.0054,0,0,500,0.81
TRNUSAMAUSASE,ELCUSASE02,1.05,ELCUSAMA01,1,2,x,x,x,x,x,x,x,x
TRNUSAMAUSANY,ELCUSAMA02,1.05,ELCUSANY01,1,1,769.2307692,2060,1000,0.0054,0,0,300,1.17
TRNUSAMAUSANY,ELCUSANY02,1.05,ELCUSAMA01,1,2,x,x,x,x,x,x,x,x
TRNUSANEUSANY,ELCUSANE02,1.05,ELCUSANY01,1,1,769.2307692,2060,1000,0.0054,0,0,300,1.17
TRNUSANEUSANY,ELCUSANY02,1.05,ELCUSANE01,1,2,x,x,x,x,x,x,x,x
TRNCANWSUSANW,ELCCANWS02,1.05,ELCUSANW01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANWSUSANW,ELCUSANW02,1.05,ELCCANWS01,1,2,x,x,x,x,x,x,x,x
TRNCANWSUSAMN,ELCCANWS02,1.05,ELCUSAMN01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANWSUSAMN,ELCUSAMN02,1.05,ELCCANWS01,1,2,x,x,x,x,x,x,x,x
TRNCANMWUSACE,ELCCANMW02,1.05,ELCUSACE01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANMWUSACE,ELCUSACE02,1.05,ELCCANMW01,1,2,x,x,x,x,x,x,x,x
TRNCANMWUSAMW,ELCCANMW02,1.05,ELCUSAMW01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANMWUSAMW,ELCUSAMW02,1.05,ELCCANMW01,1,2,x,x,x,x,x,x,x,x
TRNCANOTUSAMW,ELCCANOT02,1.05,ELCUSAMW01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANOTUSAMW,ELCUSAMW02,1.05,ELCCANOT01,1,2,x,x,x,x,x,x,x,x
TRNCANOTUSANY,ELCCANOT02,1.05,ELCUSANY01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANOTUSANY,ELCUSANY02,1.05,ELCCANOT01,1,2,x,x,x,x,x,x,x,x
TRNCANQCUSANY,ELCCANQC02,1.05,ELCUSANY01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANQCUSANY,ELCUSANY02,1.05,ELCCANQC01,1,2,x,x,x,x,x,x,x,x
TRNCANQCUSANE,ELCCANQC02,1.05,ELCUSANE01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANQCUSANE,ELCUSANE02,1.05,ELCCANQC01,1,2,x,x,x,x,x,x,x,x
TRNCANATUSANE,ELCCANAT02,1.05,ELCUSANE01,1,1,133.3333333,2060,1000,0.0054,0,0,100,2.25
TRNCANATUSANE,ELCUSANE02,1.05,ELCCANAT01,1,2,x,x,x,x,x,x,x,x
