REGION,YEAR,VALUE
NAmerica,2019,1
NAmerica,2020,1
NAmerica,2021,1
NAmerica,2022,1
NAmerica,2023,1
NAmerica,2024,1
NAmerica,2025,1
NAmerica,2026,1
NAmerica,2027,1
NAmerica,2028,1
NAmerica,2029,1
NAmerica,2030,1
NAmerica,2031,1
NAmerica,2032,1
NAmerica,2033,1
NAmerica,2034,1
NAmerica,2035,1
NAmerica,2036,1
NAmerica,2037,1
NAmerica,2038,1
NAmerica,2039,1
NAmerica,2040,1
NAmerica,2041,1
NAmerica,2042,1
NAmerica,2043,1
NAmerica,2044,1
NAmerica,2045,1
NAmerica,2046,1
NAmerica,2047,1
NAmerica,2048,1
NAmerica,2049,1
NAmerica,2050,1
NAmerica,2019,1
NAmerica,2020,1
NAmerica,2021,1
NAmerica,2022,1
NAmerica,2023,1
NAmerica,2024,1
NAmerica,2025,1
NAmerica,2026,1
NAmerica,2027,1
NAmerica,2028,1
NAmerica,2029,1
NAmerica,2030,1
NAmerica,2031,1
NAmerica,2032,1
NAmerica,2033,1
NAmerica,2034,1
NAmerica,2035,1
NAmerica,2036,1
NAmerica,2037,1
NAmerica,2038,1
NAmerica,2039,1
NAmerica,2040,1
NAmerica,2041,1
NAmerica,2042,1
NAmerica,2043,1
NAmerica,2044,1
NAmerica,2045,1
NAmerica,2046,1
NAmerica,2047,1
NAmerica,2048,1
NAmerica,2049,1
NAmerica,2050,1
