REGION,TECHNOLOGY,YEAR,VALUE
W,HYD,2019,0.446852274
MW,HYD,2019,0.215995808
ME,HYD,2019,0.521808324
E,HYD,2019,0.152171653
W,HYD,2020,0.446852274
MW,HYD,2020,0.215995808
ME,HYD,2020,0.521808324
E,HYD,2020,0.152171653
W,HYD,2021,0.446852274
MW,HYD,2021,0.215995808
ME,HYD,2021,0.521808324
E,HYD,2021,0.152171653
W,HYD,2022,0.446852274
MW,HYD,2022,0.215995808
ME,HYD,2022,0.521808324
E,HYD,2022,0.152171653
W,HYD,2023,0.446852274
MW,HYD,2023,0.215995808
ME,HYD,2023,0.521808324
E,HYD,2023,0.152171653
W,HYD,2024,0.446852274
MW,HYD,2024,0.215995808
ME,HYD,2024,0.521808324
E,HYD,2024,0.152171653
W,HYD,2025,0.446852274
MW,HYD,2025,0.215995808
ME,HYD,2025,0.521808324
E,HYD,2025,0.152171653
W,HYD,2026,0.446852274
MW,HYD,2026,0.215995808
ME,HYD,2026,0.521808324
E,HYD,2026,0.152171653
W,HYD,2027,0.446852274
MW,HYD,2027,0.215995808
ME,HYD,2027,0.521808324
E,HYD,2027,0.152171653
W,HYD,2028,0.446852274
MW,HYD,2028,0.215995808
ME,HYD,2028,0.521808324
E,HYD,2028,0.152171653
W,HYD,2029,0.446852274
MW,HYD,2029,0.215995808
ME,HYD,2029,0.521808324
E,HYD,2029,0.152171653
W,HYD,2030,0.446852274
MW,HYD,2030,0.215995808
ME,HYD,2030,0.521808324
E,HYD,2030,0.152171653
W,HYD,2031,0.446852274
MW,HYD,2031,0.215995808
ME,HYD,2031,0.521808324
E,HYD,2031,0.152171653
W,HYD,2032,0.446852274
MW,HYD,2032,0.215995808
ME,HYD,2032,0.521808324
E,HYD,2032,0.152171653
W,HYD,2033,0.446852274
MW,HYD,2033,0.215995808
ME,HYD,2033,0.521808324
E,HYD,2033,0.152171653
W,HYD,2034,0.446852274
MW,HYD,2034,0.215995808
ME,HYD,2034,0.521808324
E,HYD,2034,0.152171653
W,HYD,2035,0.446852274
MW,HYD,2035,0.215995808
ME,HYD,2035,0.521808324
E,HYD,2035,0.152171653
W,HYD,2036,0.446852274
MW,HYD,2036,0.215995808
ME,HYD,2036,0.521808324
E,HYD,2036,0.152171653
W,HYD,2037,0.446852274
MW,HYD,2037,0.215995808
ME,HYD,2037,0.521808324
E,HYD,2037,0.152171653
W,HYD,2038,0.446852274
MW,HYD,2038,0.215995808
ME,HYD,2038,0.521808324
E,HYD,2038,0.152171653
W,HYD,2039,0.446852274
MW,HYD,2039,0.215995808
ME,HYD,2039,0.521808324
E,HYD,2039,0.152171653
W,HYD,2040,0.446852274
MW,HYD,2040,0.215995808
ME,HYD,2040,0.521808324
E,HYD,2040,0.152171653
W,HYD,2041,0.446852274
MW,HYD,2041,0.215995808
ME,HYD,2041,0.521808324
E,HYD,2041,0.152171653
W,HYD,2042,0.446852274
MW,HYD,2042,0.215995808
ME,HYD,2042,0.521808324
E,HYD,2042,0.152171653
W,HYD,2043,0.446852274
MW,HYD,2043,0.215995808
ME,HYD,2043,0.521808324
E,HYD,2043,0.152171653
W,HYD,2044,0.446852274
MW,HYD,2044,0.215995808
ME,HYD,2044,0.521808324
E,HYD,2044,0.152171653
W,HYD,2045,0.446852274
MW,HYD,2045,0.215995808
ME,HYD,2045,0.521808324
E,HYD,2045,0.152171653
W,HYD,2046,0.446852274
MW,HYD,2046,0.215995808
ME,HYD,2046,0.521808324
E,HYD,2046,0.152171653
W,HYD,2047,0.446852274
MW,HYD,2047,0.215995808
ME,HYD,2047,0.521808324
E,HYD,2047,0.152171653
W,HYD,2048,0.446852274
MW,HYD,2048,0.215995808
ME,HYD,2048,0.521808324
E,HYD,2048,0.152171653
W,HYD,2049,0.446852274
MW,HYD,2049,0.215995808
ME,HYD,2049,0.521808324
E,HYD,2049,0.152171653
W,HYD,2050,0.446852274
MW,HYD,2050,0.215995808
ME,HYD,2050,0.521808324
E,HYD,2050,0.152171653
