REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRHYDCANWS01,2019,0.471
NAmerica,PWRHYDCANMW01,2019,0.719
NAmerica,PWRHYDCANOT01,2019,0.494
NAmerica,PWRHYDCANQC01,2019,0.57
NAmerica,PWRHYDCANAT01,2019,0.566
NAmerica,PWRHYDCANWS01,2020,0.471
NAmerica,PWRHYDCANMW01,2020,0.719
NAmerica,PWRHYDCANOT01,2020,0.494
NAmerica,PWRHYDCANQC01,2020,0.57
NAmerica,PWRHYDCANAT01,2020,0.566
NAmerica,PWRHYDCANWS01,2021,0.471
NAmerica,PWRHYDCANMW01,2021,0.719
NAmerica,PWRHYDCANOT01,2021,0.494
NAmerica,PWRHYDCANQC01,2021,0.57
NAmerica,PWRHYDCANAT01,2021,0.566
NAmerica,PWRHYDCANWS01,2022,0.471
NAmerica,PWRHYDCANMW01,2022,0.719
NAmerica,PWRHYDCANOT01,2022,0.494
NAmerica,PWRHYDCANQC01,2022,0.57
NAmerica,PWRHYDCANAT01,2022,0.566
NAmerica,PWRHYDCANWS01,2023,0.471
NAmerica,PWRHYDCANMW01,2023,0.719
NAmerica,PWRHYDCANOT01,2023,0.494
NAmerica,PWRHYDCANQC01,2023,0.57
NAmerica,PWRHYDCANAT01,2023,0.566
NAmerica,PWRHYDCANWS01,2024,0.471
NAmerica,PWRHYDCANMW01,2024,0.719
NAmerica,PWRHYDCANOT01,2024,0.494
NAmerica,PWRHYDCANQC01,2024,0.57
NAmerica,PWRHYDCANAT01,2024,0.566
NAmerica,PWRHYDCANWS01,2025,0.471
NAmerica,PWRHYDCANMW01,2025,0.719
NAmerica,PWRHYDCANOT01,2025,0.494
NAmerica,PWRHYDCANQC01,2025,0.57
NAmerica,PWRHYDCANAT01,2025,0.566
NAmerica,PWRHYDCANWS01,2026,0.471
NAmerica,PWRHYDCANMW01,2026,0.719
NAmerica,PWRHYDCANOT01,2026,0.494
NAmerica,PWRHYDCANQC01,2026,0.57
NAmerica,PWRHYDCANAT01,2026,0.566
NAmerica,PWRHYDCANWS01,2027,0.471
NAmerica,PWRHYDCANMW01,2027,0.719
NAmerica,PWRHYDCANOT01,2027,0.494
NAmerica,PWRHYDCANQC01,2027,0.57
NAmerica,PWRHYDCANAT01,2027,0.566
NAmerica,PWRHYDCANWS01,2028,0.471
NAmerica,PWRHYDCANMW01,2028,0.719
NAmerica,PWRHYDCANOT01,2028,0.494
NAmerica,PWRHYDCANQC01,2028,0.57
NAmerica,PWRHYDCANAT01,2028,0.566
NAmerica,PWRHYDCANWS01,2029,0.471
NAmerica,PWRHYDCANMW01,2029,0.719
NAmerica,PWRHYDCANOT01,2029,0.494
NAmerica,PWRHYDCANQC01,2029,0.57
NAmerica,PWRHYDCANAT01,2029,0.566
NAmerica,PWRHYDCANWS01,2030,0.471
NAmerica,PWRHYDCANMW01,2030,0.719
NAmerica,PWRHYDCANOT01,2030,0.494
NAmerica,PWRHYDCANQC01,2030,0.57
NAmerica,PWRHYDCANAT01,2030,0.566
NAmerica,PWRHYDCANWS01,2031,0.471
NAmerica,PWRHYDCANMW01,2031,0.719
NAmerica,PWRHYDCANOT01,2031,0.494
NAmerica,PWRHYDCANQC01,2031,0.57
NAmerica,PWRHYDCANAT01,2031,0.566
NAmerica,PWRHYDCANWS01,2032,0.471
NAmerica,PWRHYDCANMW01,2032,0.719
NAmerica,PWRHYDCANOT01,2032,0.494
NAmerica,PWRHYDCANQC01,2032,0.57
NAmerica,PWRHYDCANAT01,2032,0.566
NAmerica,PWRHYDCANWS01,2033,0.471
NAmerica,PWRHYDCANMW01,2033,0.719
NAmerica,PWRHYDCANOT01,2033,0.494
NAmerica,PWRHYDCANQC01,2033,0.57
NAmerica,PWRHYDCANAT01,2033,0.566
NAmerica,PWRHYDCANWS01,2034,0.471
NAmerica,PWRHYDCANMW01,2034,0.719
NAmerica,PWRHYDCANOT01,2034,0.494
NAmerica,PWRHYDCANQC01,2034,0.57
NAmerica,PWRHYDCANAT01,2034,0.566
NAmerica,PWRHYDCANWS01,2035,0.471
NAmerica,PWRHYDCANMW01,2035,0.719
NAmerica,PWRHYDCANOT01,2035,0.494
NAmerica,PWRHYDCANQC01,2035,0.57
NAmerica,PWRHYDCANAT01,2035,0.566
NAmerica,PWRHYDCANWS01,2036,0.471
NAmerica,PWRHYDCANMW01,2036,0.719
NAmerica,PWRHYDCANOT01,2036,0.494
NAmerica,PWRHYDCANQC01,2036,0.57
NAmerica,PWRHYDCANAT01,2036,0.566
NAmerica,PWRHYDCANWS01,2037,0.471
NAmerica,PWRHYDCANMW01,2037,0.719
NAmerica,PWRHYDCANOT01,2037,0.494
NAmerica,PWRHYDCANQC01,2037,0.57
NAmerica,PWRHYDCANAT01,2037,0.566
NAmerica,PWRHYDCANWS01,2038,0.471
NAmerica,PWRHYDCANMW01,2038,0.719
NAmerica,PWRHYDCANOT01,2038,0.494
NAmerica,PWRHYDCANQC01,2038,0.57
NAmerica,PWRHYDCANAT01,2038,0.566
NAmerica,PWRHYDCANWS01,2039,0.471
NAmerica,PWRHYDCANMW01,2039,0.719
NAmerica,PWRHYDCANOT01,2039,0.494
NAmerica,PWRHYDCANQC01,2039,0.57
NAmerica,PWRHYDCANAT01,2039,0.566
NAmerica,PWRHYDCANWS01,2040,0.471
NAmerica,PWRHYDCANMW01,2040,0.719
NAmerica,PWRHYDCANOT01,2040,0.494
NAmerica,PWRHYDCANQC01,2040,0.57
NAmerica,PWRHYDCANAT01,2040,0.566
NAmerica,PWRHYDCANWS01,2041,0.471
NAmerica,PWRHYDCANMW01,2041,0.719
NAmerica,PWRHYDCANOT01,2041,0.494
NAmerica,PWRHYDCANQC01,2041,0.57
NAmerica,PWRHYDCANAT01,2041,0.566
NAmerica,PWRHYDCANWS01,2042,0.471
NAmerica,PWRHYDCANMW01,2042,0.719
NAmerica,PWRHYDCANOT01,2042,0.494
NAmerica,PWRHYDCANQC01,2042,0.57
NAmerica,PWRHYDCANAT01,2042,0.566
NAmerica,PWRHYDCANWS01,2043,0.471
NAmerica,PWRHYDCANMW01,2043,0.719
NAmerica,PWRHYDCANOT01,2043,0.494
NAmerica,PWRHYDCANQC01,2043,0.57
NAmerica,PWRHYDCANAT01,2043,0.566
NAmerica,PWRHYDCANWS01,2044,0.471
NAmerica,PWRHYDCANMW01,2044,0.719
NAmerica,PWRHYDCANOT01,2044,0.494
NAmerica,PWRHYDCANQC01,2044,0.57
NAmerica,PWRHYDCANAT01,2044,0.566
NAmerica,PWRHYDCANWS01,2045,0.471
NAmerica,PWRHYDCANMW01,2045,0.719
NAmerica,PWRHYDCANOT01,2045,0.494
NAmerica,PWRHYDCANQC01,2045,0.57
NAmerica,PWRHYDCANAT01,2045,0.566
NAmerica,PWRHYDCANWS01,2046,0.471
NAmerica,PWRHYDCANMW01,2046,0.719
NAmerica,PWRHYDCANOT01,2046,0.494
NAmerica,PWRHYDCANQC01,2046,0.57
NAmerica,PWRHYDCANAT01,2046,0.566
NAmerica,PWRHYDCANWS01,2047,0.471
NAmerica,PWRHYDCANMW01,2047,0.719
NAmerica,PWRHYDCANOT01,2047,0.494
NAmerica,PWRHYDCANQC01,2047,0.57
NAmerica,PWRHYDCANAT01,2047,0.566
NAmerica,PWRHYDCANWS01,2048,0.471
NAmerica,PWRHYDCANMW01,2048,0.719
NAmerica,PWRHYDCANOT01,2048,0.494
NAmerica,PWRHYDCANQC01,2048,0.57
NAmerica,PWRHYDCANAT01,2048,0.566
NAmerica,PWRHYDCANWS01,2049,0.471
NAmerica,PWRHYDCANMW01,2049,0.719
NAmerica,PWRHYDCANOT01,2049,0.494
NAmerica,PWRHYDCANQC01,2049,0.57
NAmerica,PWRHYDCANAT01,2049,0.566
NAmerica,PWRHYDCANWS01,2050,0.471
NAmerica,PWRHYDCANMW01,2050,0.719
NAmerica,PWRHYDCANOT01,2050,0.494
NAmerica,PWRHYDCANQC01,2050,0.57
NAmerica,PWRHYDCANAT01,2050,0.566
