REGION,TECHNOLOGY,VALUE
NAmerica,PWRBIOCANAT01,31.536
NAmerica,PWRCCGCANAT01,31.536
NAmerica,PWRCTGCANAT01,31.536
NAmerica,PWRCOACANAT01,31.536
NAmerica,PWRCOCCANAT01,31.536
NAmerica,PWRHYDCANAT01,31.536
NAmerica,PWRSPVCANAT01,31.536
NAmerica,PWRURNCANAT01,31.536
NAmerica,PWRWNDCANAT01,31.536
NAmerica,PWRBIOCANOT01,31.536
NAmerica,PWRCCGCANOT01,31.536
NAmerica,PWRCTGCANOT01,31.536
NAmerica,PWRCOACANOT01,31.536
NAmerica,PWRCOCCANOT01,31.536
NAmerica,PWRHYDCANOT01,31.536
NAmerica,PWRSPVCANOT01,31.536
NAmerica,PWRURNCANOT01,31.536
NAmerica,PWRWNDCANOT01,31.536
NAmerica,PWRBIOCANMW01,31.536
NAmerica,PWRCCGCANMW01,31.536
NAmerica,PWRCTGCANMW01,31.536
NAmerica,PWRCOACANMW01,31.536
NAmerica,PWRCOCCANMW01,31.536
NAmerica,PWRHYDCANMW01,31.536
NAmerica,PWRSPVCANMW01,31.536
NAmerica,PWRURNCANMW01,31.536
NAmerica,PWRWNDCANMW01,31.536
NAmerica,PWRBIOCANWS01,31.536
NAmerica,PWRCCGCANWS01,31.536
NAmerica,PWRCTGCANWS01,31.536
NAmerica,PWRCOACANWS01,31.536
NAmerica,PWRCOCCANWS01,31.536
NAmerica,PWRHYDCANWS01,31.536
NAmerica,PWRSPVCANWS01,31.536
NAmerica,PWRURNCANWS01,31.536
NAmerica,PWRWNDCANWS01,31.536
NAmerica,PWRBIOCANQC01,31.536
NAmerica,PWRCCGCANQC01,31.536
NAmerica,PWRCTGCANQC01,31.536
NAmerica,PWRCOACANQC01,31.536
NAmerica,PWRCOCCANQC01,31.536
NAmerica,PWRHYDCANQC01,31.536
NAmerica,PWRSPVCANQC01,31.536
NAmerica,PWRURNCANQC01,31.536
NAmerica,PWRWNDCANQC01,31.536
NAmerica,PWRTRNCANAT,31.536
NAmerica,PWRTRNCANOT,31.536
NAmerica,PWRTRNCANMW,31.536
NAmerica,PWRTRNCANWS,31.536
NAmerica,PWRTRNCANQC,31.536
NAmerica,MINCOACAN,31.536
NAmerica,MINGASCAN,31.536
NAmerica,MINURNCAN,31.536
NAmerica,MINCOAINT,31.536
NAmerica,MINGASINT,31.536
NAmerica,MINURNINT,31.536
NAmerica,RNWHYDCANAT,31.536
NAmerica,RNWSPVCANAT,31.536
NAmerica,RNWWNDCANAT,31.536
NAmerica,RNWBIOCANAT,31.536
NAmerica,RNWHYDCANOT,31.536
NAmerica,RNWSPVCANOT,31.536
NAmerica,RNWWNDCANOT,31.536
NAmerica,RNWBIOCANOT,31.536
NAmerica,RNWHYDCANMW,31.536
NAmerica,RNWSPVCANMW,31.536
NAmerica,RNWWNDCANMW,31.536
NAmerica,RNWBIOCANMW,31.536
NAmerica,RNWHYDCANWS,31.536
NAmerica,RNWSPVCANWS,31.536
NAmerica,RNWWNDCANWS,31.536
NAmerica,RNWBIOCANWS,31.536
NAmerica,RNWHYDCANQC,31.536
NAmerica,RNWSPVCANQC,31.536
NAmerica,RNWWNDCANQC,31.536
NAmerica,RNWBIOCANQC,31.536
NAmerica,TRNCANOTCANQC,31.536
NAmerica,TRNCANMWCANOT,31.536
NAmerica,TRNCANMWCANWS,31.536
NAmerica,TRNCANATCANQC,31.536
