REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRCOACANMW01,2019,4698.472
NAmerica,PWRCOCCANMW01,2019,5279.293
NAmerica,PWRHYDCANMW01,2019,4213.446
NAmerica,PWRCCGCANMW01,2019,1077.134
NAmerica,PWRCTGCANMW01,2019,978.284
NAmerica,PWRWNDCANMW01,2019,1532.526
NAmerica,PWRSPVCANMW01,2019,1405.259
NAmerica,PWRURNCANMW01,2019,7148.971
NAmerica,PWRBIOCANMW01,2019,4335.184
NAmerica,PWRCOACANMW01,2020,4656.638
NAmerica,PWRCOCCANMW01,2020,5259.491
NAmerica,PWRHYDCANMW01,2020,4213.446
NAmerica,PWRCCGCANMW01,2020,1065.941
NAmerica,PWRCTGCANMW01,2020,973.606
NAmerica,PWRWNDCANMW01,2020,1508.428
NAmerica,PWRSPVCANMW01,2020,1353.543
NAmerica,PWRURNCANMW01,2020,7112.287
NAmerica,PWRBIOCANMW01,2020,4322.288
NAmerica,PWRCOACANMW01,2021,4614.804
NAmerica,PWRCOCCANMW01,2021,5239.688
NAmerica,PWRHYDCANMW01,2021,4213.446
NAmerica,PWRCCGCANMW01,2021,1054.747
NAmerica,PWRCTGCANMW01,2021,968.927
NAmerica,PWRWNDCANMW01,2021,1483.589
NAmerica,PWRSPVCANMW01,2021,1301.827
NAmerica,PWRURNCANMW01,2021,7075.603
NAmerica,PWRBIOCANMW01,2021,4309.393
NAmerica,PWRCOACANMW01,2022,4572.97
NAmerica,PWRCOCCANMW01,2022,5219.886
NAmerica,PWRHYDCANMW01,2022,4213.446
NAmerica,PWRCCGCANMW01,2022,1043.553
NAmerica,PWRCTGCANMW01,2022,964.249
NAmerica,PWRWNDCANMW01,2022,1458.01
NAmerica,PWRSPVCANMW01,2022,1250.111
NAmerica,PWRURNCANMW01,2022,7038.919
NAmerica,PWRBIOCANMW01,2022,4296.497
NAmerica,PWRCOACANMW01,2023,4492.339
NAmerica,PWRCOCCANMW01,2023,5200.084
NAmerica,PWRHYDCANMW01,2023,4213.446
NAmerica,PWRCCGCANMW01,2023,1032.36
NAmerica,PWRCTGCANMW01,2023,953.168
NAmerica,PWRWNDCANMW01,2023,1431.691
NAmerica,PWRSPVCANMW01,2023,1198.395
NAmerica,PWRURNCANMW01,2023,7002.235
NAmerica,PWRBIOCANMW01,2023,4283.601
NAmerica,PWRCOACANMW01,2024,4450.505
NAmerica,PWRCOCCANMW01,2024,5180.281
NAmerica,PWRHYDCANMW01,2024,4213.446
NAmerica,PWRCCGCANMW01,2024,1018.17
NAmerica,PWRCTGCANMW01,2024,936.036
NAmerica,PWRWNDCANMW01,2024,1404.63
NAmerica,PWRSPVCANMW01,2024,1146.679
NAmerica,PWRURNCANMW01,2024,6965.551
NAmerica,PWRBIOCANMW01,2024,4270.705
NAmerica,PWRCOACANMW01,2025,4425.92
NAmerica,PWRCOCCANMW01,2025,5147.215
NAmerica,PWRHYDCANMW01,2025,4213.446
NAmerica,PWRCCGCANMW01,2025,1008.002
NAmerica,PWRCTGCANMW01,2025,924.723
NAmerica,PWRWNDCANMW01,2025,1376.83
NAmerica,PWRSPVCANMW01,2025,1094.964
NAmerica,PWRURNCANMW01,2025,6928.867
NAmerica,PWRBIOCANMW01,2025,4246.878
NAmerica,PWRCOACANMW01,2026,4401.15
NAmerica,PWRCOCCANMW01,2026,5124.604
NAmerica,PWRHYDCANMW01,2026,4213.446
NAmerica,PWRCCGCANMW01,2026,1001.988
NAmerica,PWRCTGCANMW01,2026,917.899
NAmerica,PWRWNDCANMW01,2026,1348.288
NAmerica,PWRSPVCANMW01,2026,1043.248
NAmerica,PWRURNCANMW01,2026,6892.183
NAmerica,PWRBIOCANMW01,2026,4231.679
NAmerica,PWRCOACANMW01,2027,4375.603
NAmerica,PWRCOCCANMW01,2027,5098.851
NAmerica,PWRHYDCANMW01,2027,4213.446
NAmerica,PWRCCGCANMW01,2027,995.377
NAmerica,PWRCTGCANMW01,2027,910.533
NAmerica,PWRWNDCANMW01,2027,1319.006
NAmerica,PWRSPVCANMW01,2027,991.532
NAmerica,PWRURNCANMW01,2027,6851.259
NAmerica,PWRBIOCANMW01,2027,4213.891
NAmerica,PWRCOACANMW01,2028,4353.77
NAmerica,PWRCOCCANMW01,2028,5075.555
NAmerica,PWRHYDCANMW01,2028,4213.446
NAmerica,PWRCCGCANMW01,2028,990.958
NAmerica,PWRCTGCANMW01,2028,905.726
NAmerica,PWRWNDCANMW01,2028,1288.984
NAmerica,PWRSPVCANMW01,2028,939.816
NAmerica,PWRURNCANMW01,2028,6813.628
NAmerica,PWRBIOCANMW01,2028,4198.14
NAmerica,PWRCOACANMW01,2029,4323.063
NAmerica,PWRCOCCANMW01,2029,5050.897
NAmerica,PWRHYDCANMW01,2029,4213.446
NAmerica,PWRCCGCANMW01,2029,987.737
NAmerica,PWRCTGCANMW01,2029,902.489
NAmerica,PWRWNDCANMW01,2029,1258.221
NAmerica,PWRSPVCANMW01,2029,888.1
NAmerica,PWRURNCANMW01,2029,6774.154
NAmerica,PWRBIOCANMW01,2029,4181.269
NAmerica,PWRCOACANMW01,2030,4303.599
NAmerica,PWRCOCCANMW01,2030,5021.111
NAmerica,PWRHYDCANMW01,2030,4213.446
NAmerica,PWRCCGCANMW01,2030,983.235
NAmerica,PWRCTGCANMW01,2030,897.99
NAmerica,PWRWNDCANMW01,2030,1226.718
NAmerica,PWRSPVCANMW01,2030,836.384
NAmerica,PWRURNCANMW01,2030,6727.8
NAmerica,PWRBIOCANMW01,2030,4160.157
NAmerica,PWRCOACANMW01,2031,4285.282
NAmerica,PWRCOCCANMW01,2031,4992.633
NAmerica,PWRHYDCANMW01,2031,4213.446
NAmerica,PWRCCGCANMW01,2031,979.32
NAmerica,PWRCTGCANMW01,2031,894.135
NAmerica,PWRWNDCANMW01,2031,1214.817
NAmerica,PWRSPVCANMW01,2031,828.955
NAmerica,PWRURNCANMW01,2031,6683.196
NAmerica,PWRBIOCANMW01,2031,4140.127
NAmerica,PWRCOACANMW01,2032,4262.032
NAmerica,PWRCOCCANMW01,2032,4962.481
NAmerica,PWRHYDCANMW01,2032,4213.446
NAmerica,PWRCCGCANMW01,2032,975.1
NAmerica,PWRCTGCANMW01,2032,890.011
NAmerica,PWRWNDCANMW01,2032,1202.872
NAmerica,PWRSPVCANMW01,2032,821.525
NAmerica,PWRURNCANMW01,2032,6636.354
NAmerica,PWRBIOCANMW01,2032,4118.709
NAmerica,PWRCOACANMW01,2033,4242.837
NAmerica,PWRCOCCANMW01,2033,4931.583
NAmerica,PWRHYDCANMW01,2033,4213.446
NAmerica,PWRCCGCANMW01,2033,970.372
NAmerica,PWRCTGCANMW01,2033,885.304
NAmerica,PWRWNDCANMW01,2033,1190.882
NAmerica,PWRSPVCANMW01,2033,814.095
NAmerica,PWRURNCANMW01,2033,6588.518
NAmerica,PWRBIOCANMW01,2033,4096.671
NAmerica,PWRCOACANMW01,2034,4225.315
NAmerica,PWRCOCCANMW01,2034,4905.996
NAmerica,PWRHYDCANMW01,2034,4213.446
NAmerica,PWRCCGCANMW01,2034,966.972
NAmerica,PWRCTGCANMW01,2034,881.901
NAmerica,PWRWNDCANMW01,2034,1178.847
NAmerica,PWRSPVCANMW01,2034,806.666
NAmerica,PWRURNCANMW01,2034,6547.775
NAmerica,PWRBIOCANMW01,2034,4079.044
NAmerica,PWRCOACANMW01,2035,4204.572
NAmerica,PWRCOCCANMW01,2035,4878.98
NAmerica,PWRHYDCANMW01,2035,4213.446
NAmerica,PWRCCGCANMW01,2035,964.264
NAmerica,PWRCTGCANMW01,2035,879.448
NAmerica,PWRWNDCANMW01,2035,1166.766
NAmerica,PWRSPVCANMW01,2035,799.236
NAmerica,PWRURNCANMW01,2035,6505.117
NAmerica,PWRBIOCANMW01,2035,4060.234
NAmerica,PWRCOACANMW01,2036,4184.372
NAmerica,PWRCOCCANMW01,2036,4845.184
NAmerica,PWRHYDCANMW01,2036,4213.446
NAmerica,PWRCCGCANMW01,2036,960.505
NAmerica,PWRCTGCANMW01,2036,876.13
NAmerica,PWRWNDCANMW01,2036,1154.641
NAmerica,PWRSPVCANMW01,2036,791.806
NAmerica,PWRURNCANMW01,2036,6453.423
NAmerica,PWRBIOCANMW01,2036,4035.779
NAmerica,PWRCOACANMW01,2037,4165.799
NAmerica,PWRCOCCANMW01,2037,4818.473
NAmerica,PWRHYDCANMW01,2037,4213.446
NAmerica,PWRCCGCANMW01,2037,958.148
NAmerica,PWRCTGCANMW01,2037,874.092
NAmerica,PWRWNDCANMW01,2037,1142.471
NAmerica,PWRSPVCANMW01,2037,784.377
NAmerica,PWRURNCANMW01,2037,6411.169
