REGION,STORAGE,YEAR,VALUE
NAmerica,STOTNKCANAT,2019,11.673152
NAmerica,STOTNKCANMW,2019,11.673152
NAmerica,STOTNKCANOT,2019,11.673152
NAmerica,STOTNKCANWS,2019,11.673152
NAmerica,STOTNKCANQC,2019,11.673152
NAmerica,STOTNKCANAT,2020,11.673152
NAmerica,STOTNKCANMW,2020,11.673152
NAmerica,STOTNKCANOT,2020,11.673152
NAmerica,STOTNKCANWS,2020,11.673152
NAmerica,STOTNKCANQC,2020,11.673152
NAmerica,STOTNKCANAT,2021,11.673152
NAmerica,STOTNKCANMW,2021,11.673152
NAmerica,STOTNKCANOT,2021,11.673152
NAmerica,STOTNKCANWS,2021,11.673152
NAmerica,STOTNKCANQC,2021,11.673152
NAmerica,STOTNKCANAT,2022,11.673152
NAmerica,STOTNKCANMW,2022,11.673152
NAmerica,STOTNKCANOT,2022,11.673152
NAmerica,STOTNKCANWS,2022,11.673152
NAmerica,STOTNKCANQC,2022,11.673152
NAmerica,STOTNKCANAT,2023,11.673152
NAmerica,STOTNKCANMW,2023,11.673152
NAmerica,STOTNKCANOT,2023,11.673152
NAmerica,STOTNKCANWS,2023,11.673152
NAmerica,STOTNKCANQC,2023,11.673152
NAmerica,STOTNKCANAT,2024,11.673152
NAmerica,STOTNKCANMW,2024,11.673152
NAmerica,STOTNKCANOT,2024,11.673152
NAmerica,STOTNKCANWS,2024,11.673152
NAmerica,STOTNKCANQC,2024,11.673152
NAmerica,STOTNKCANAT,2025,11.673152
NAmerica,STOTNKCANMW,2025,11.673152
NAmerica,STOTNKCANOT,2025,11.673152
NAmerica,STOTNKCANWS,2025,11.673152
NAmerica,STOTNKCANQC,2025,11.673152
NAmerica,STOTNKCANAT,2026,11.673152
NAmerica,STOTNKCANMW,2026,11.673152
NAmerica,STOTNKCANOT,2026,11.673152
NAmerica,STOTNKCANWS,2026,11.673152
NAmerica,STOTNKCANQC,2026,11.673152
NAmerica,STOTNKCANAT,2027,11.673152
NAmerica,STOTNKCANMW,2027,11.673152
NAmerica,STOTNKCANOT,2027,11.673152
NAmerica,STOTNKCANWS,2027,11.673152
NAmerica,STOTNKCANQC,2027,11.673152
NAmerica,STOTNKCANAT,2028,11.673152
NAmerica,STOTNKCANMW,2028,11.673152
NAmerica,STOTNKCANOT,2028,11.673152
NAmerica,STOTNKCANWS,2028,11.673152
NAmerica,STOTNKCANQC,2028,11.673152
NAmerica,STOTNKCANAT,2029,11.673152
NAmerica,STOTNKCANMW,2029,11.673152
NAmerica,STOTNKCANOT,2029,11.673152
NAmerica,STOTNKCANWS,2029,11.673152
NAmerica,STOTNKCANQC,2029,11.673152
NAmerica,STOTNKCANAT,2030,11.673152
NAmerica,STOTNKCANMW,2030,11.673152
NAmerica,STOTNKCANOT,2030,11.673152
NAmerica,STOTNKCANWS,2030,11.673152
NAmerica,STOTNKCANQC,2030,11.673152
NAmerica,STOTNKCANAT,2031,11.673152
NAmerica,STOTNKCANMW,2031,11.673152
NAmerica,STOTNKCANOT,2031,11.673152
NAmerica,STOTNKCANWS,2031,11.673152
