REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
NAmerica,RNWHYDCANAT,HYDCANAT,1,2019,1
NAmerica,RNWSPVCANAT,SPVCANAT,1,2019,1
NAmerica,RNWWNDCANAT,WNDCANAT,1,2019,1
NAmerica,RNWBIOCANAT,BIOCANAT,1,2019,1
NAmerica,RNWHYDCANOT,HYDCANOT,1,2019,1
NAmerica,RNWSPVCANOT,SPVCANOT,1,2019,1
NAmerica,RNWWNDCANOT,WNDCANOT,1,2019,1
NAmerica,RNWBIOCANOT,BIOCANOT,1,2019,1
NAmerica,RNWHYDCANWS,HYDCANWS,1,2019,1
NAmerica,RNWSPVCANWS,SPVCANWS,1,2019,1
NAmerica,RNWWNDCANWS,WNDCANWS,1,2019,1
NAmerica,RNWBIOCANWS,BIOCANWS,1,2019,1
NAmerica,RNWHYDCANMW,HYDCANMW,1,2019,1
NAmerica,RNWSPVCANMW,SPVCANMW,1,2019,1
NAmerica,RNWWNDCANMW,WNDCANMW,1,2019,1
NAmerica,RNWBIOCANMW,BIOCANMW,1,2019,1
NAmerica,RNWHYDCANQC,HYDCANQC,1,2019,1
NAmerica,RNWSPVCANQC,SPVCANQC,1,2019,1
NAmerica,RNWWNDCANQC,WNDCANQC,1,2019,1
NAmerica,RNWBIOCANQC,BIOCANQC,1,2019,1
NAmerica,RNWHYDCANAT,HYDCANAT,1,2020,1
NAmerica,RNWSPVCANAT,SPVCANAT,1,2020,1
NAmerica,RNWWNDCANAT,WNDCANAT,1,2020,1
NAmerica,RNWBIOCANAT,BIOCANAT,1,2020,1
NAmerica,RNWHYDCANOT,HYDCANOT,1,2020,1
NAmerica,RNWSPVCANOT,SPVCANOT,1,2020,1
NAmerica,RNWWNDCANOT,WNDCANOT,1,2020,1
NAmerica,RNWBIOCANOT,BIOCANOT,1,2020,1
NAmerica,RNWHYDCANWS,HYDCANWS,1,2020,1
NAmerica,RNWSPVCANWS,SPVCANWS,1,2020,1
NAmerica,RNWWNDCANWS,WNDCANWS,1,2020,1
NAmerica,RNWBIOCANWS,BIOCANWS,1,2020,1
NAmerica,RNWHYDCANMW,HYDCANMW,1,2020,1
NAmerica,RNWSPVCANMW,SPVCANMW,1,2020,1
NAmerica,RNWWNDCANMW,WNDCANMW,1,2020,1
NAmerica,RNWBIOCANMW,BIOCANMW,1,2020,1
NAmerica,RNWHYDCANQC,HYDCANQC,1,2020,1
NAmerica,RNWSPVCANQC,SPVCANQC,1,2020,1
NAmerica,RNWWNDCANQC,WNDCANQC,1,2020,1
NAmerica,RNWBIOCANQC,BIOCANQC,1,2020,1
NAmerica,RNWHYDCANAT,HYDCANAT,1,2021,1
NAmerica,RNWSPVCANAT,SPVCANAT,1,2021,1
NAmerica,RNWWNDCANAT,WNDCANAT,1,2021,1
NAmerica,RNWBIOCANAT,BIOCANAT,1,2021,1
NAmerica,RNWHYDCANOT,HYDCANOT,1,2021,1
NAmerica,RNWSPVCANOT,SPVCANOT,1,2021,1
NAmerica,RNWWNDCANOT,WNDCANOT,1,2021,1
