REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRHYDCANOT01,2019,1
NAmerica,PWRWNDCANOT01,2019,1
NAmerica,PWRBIOCANOT01,2019,1
NAmerica,PWRSPVCANOT01,2019,1
NAmerica,PWRHYDCANQC01,2019,1
NAmerica,PWRWNDCANQC01,2019,1
NAmerica,PWRBIOCANQC01,2019,1
NAmerica,PWRSPVCANQC01,2019,1
NAmerica,PWRHYDCANMW01,2019,1
NAmerica,PWRWNDCANMW01,2019,1
NAmerica,PWRBIOCANMW01,2019,1
NAmerica,PWRSPVCANMW01,2019,1
NAmerica,PWRHYDCANAT01,2019,1
NAmerica,PWRWNDCANAT01,2019,1
NAmerica,PWRBIOCANAT01,2019,1
NAmerica,PWRSPVCANAT01,2019,1
NAmerica,PWRHYDCANWS01,2019,1
NAmerica,PWRWNDCANWS01,2019,1
NAmerica,PWRBIOCANWS01,2019,1
NAmerica,PWRSPVCANWS01,2019,1
NAmerica,PWRHYDCANOT01,2020,1
NAmerica,PWRWNDCANOT01,2020,1
NAmerica,PWRBIOCANOT01,2020,1
NAmerica,PWRSPVCANOT01,2020,1
NAmerica,PWRHYDCANQC01,2020,1
NAmerica,PWRWNDCANQC01,2020,1
NAmerica,PWRBIOCANQC01,2020,1
NAmerica,PWRSPVCANQC01,2020,1
NAmerica,PWRHYDCANMW01,2020,1
NAmerica,PWRWNDCANMW01,2020,1
NAmerica,PWRBIOCANMW01,2020,1
NAmerica,PWRSPVCANMW01,2020,1
NAmerica,PWRHYDCANAT01,2020,1
NAmerica,PWRWNDCANAT01,2020,1
NAmerica,PWRBIOCANAT01,2020,1
NAmerica,PWRSPVCANAT01,2020,1
NAmerica,PWRHYDCANWS01,2020,1
NAmerica,PWRWNDCANWS01,2020,1
NAmerica,PWRBIOCANWS01,2020,1
NAmerica,PWRSPVCANWS01,2020,1
NAmerica,PWRHYDCANOT01,2021,1
NAmerica,PWRWNDCANOT01,2021,1
NAmerica,PWRBIOCANOT01,2021,1
NAmerica,PWRSPVCANOT01,2021,1
NAmerica,PWRHYDCANQC01,2021,1
NAmerica,PWRWNDCANQC01,2021,1
NAmerica,PWRBIOCANQC01,2021,1
NAmerica,PWRSPVCANQC01,2021,1
NAmerica,PWRHYDCANMW01,2021,1
NAmerica,PWRWNDCANMW01,2021,1
NAmerica,PWRBIOCANMW01,2021,1
NAmerica,PWRSPVCANMW01,2021,1
NAmerica,PWRHYDCANAT01,2021,1
NAmerica,PWRWNDCANAT01,2021,1
NAmerica,PWRBIOCANAT01,2021,1
NAmerica,PWRSPVCANAT01,2021,1
NAmerica,PWRHYDCANWS01,2021,1
NAmerica,PWRWNDCANWS01,2021,1
NAmerica,PWRBIOCANWS01,2021,1
NAmerica,PWRSPVCANWS01,2021,1
NAmerica,PWRHYDCANOT01,2022,1
NAmerica,PWRWNDCANOT01,2022,1
NAmerica,PWRBIOCANOT01,2022,1
NAmerica,PWRSPVCANOT01,2022,1
NAmerica,PWRHYDCANQC01,2022,1
NAmerica,PWRWNDCANQC01,2022,1
NAmerica,PWRBIOCANQC01,2022,1
NAmerica,PWRSPVCANQC01,2022,1
NAmerica,PWRHYDCANMW01,2022,1
NAmerica,PWRWNDCANMW01,2022,1
NAmerica,PWRBIOCANMW01,2022,1
NAmerica,PWRSPVCANMW01,2022,1
NAmerica,PWRHYDCANAT01,2022,1
NAmerica,PWRWNDCANAT01,2022,1
NAmerica,PWRBIOCANAT01,2022,1
NAmerica,PWRSPVCANAT01,2022,1
NAmerica,PWRHYDCANWS01,2022,1
NAmerica,PWRWNDCANWS01,2022,1
NAmerica,PWRBIOCANWS01,2022,1
NAmerica,PWRSPVCANWS01,2022,1
NAmerica,PWRHYDCANOT01,2023,1
NAmerica,PWRWNDCANOT01,2023,1
NAmerica,PWRBIOCANOT01,2023,1
NAmerica,PWRSPVCANOT01,2023,1
NAmerica,PWRHYDCANQC01,2023,1
