REGION,TECHNOLOGY,YEAR,VALUE,MODE_OF_OPERATION
NAmerica,PWRCOACANWS01,2019,14.412,1.0
NAmerica,PWRCOACANWS01,2019,14.412,2.0
NAmerica,PWRCOCCANWS01,2019,15.789,1.0
NAmerica,PWRCOCCANWS01,2019,15.789,2.0
NAmerica,PWRHYDCANWS01,2019,0.0,1.0
NAmerica,PWRCCGCANWS01,2019,2.585,1.0
NAmerica,PWRCCGCANWS01,2019,2.585,2.0
NAmerica,PWRCTGCANWS01,2019,3.235,1.0
NAmerica,PWRCTGCANWS01,2019,3.235,2.0
NAmerica,PWRWNDCANWS01,2019,0.0,1.0
NAmerica,PWRSPVCANWS01,2019,0.0,1.0
NAmerica,PWRURNCANWS01,2019,2.58,1.0
NAmerica,PWRURNCANWS01,2019,2.58,2.0
NAmerica,PWRBIOCANWS01,2019,3.528,1.0
NAmerica,PWRCOACANWS01,2020,14.325,1.0
NAmerica,PWRCOACANWS01,2020,14.325,2.0
NAmerica,PWRCOCCANWS01,2020,15.86,1.0
NAmerica,PWRCOCCANWS01,2020,15.86,2.0
NAmerica,PWRHYDCANWS01,2020,0.0,1.0
NAmerica,PWRCCGCANWS01,2020,2.44,1.0
NAmerica,PWRCCGCANWS01,2020,2.44,2.0
NAmerica,PWRCTGCANWS01,2020,3.09,1.0
NAmerica,PWRCTGCANWS01,2020,3.09,2.0
NAmerica,PWRWNDCANWS01,2020,0.0,1.0
NAmerica,PWRSPVCANWS01,2020,0.0,1.0
NAmerica,PWRURNCANWS01,2020,2.583,1.0
NAmerica,PWRURNCANWS01,2020,2.583,2.0
NAmerica,PWRBIOCANWS01,2020,3.528,1.0
NAmerica,PWRCOACANWS01,2021,13.983,1.0
NAmerica,PWRCOACANWS01,2021,13.983,2.0
NAmerica,PWRCOCCANWS01,2021,15.635,1.0
NAmerica,PWRCOCCANWS01,2021,15.635,2.0
NAmerica,PWRHYDCANWS01,2021,0.0,1.0
NAmerica,PWRCCGCANWS01,2021,2.556,1.0
NAmerica,PWRCCGCANWS01,2021,2.556,2.0
NAmerica,PWRCTGCANWS01,2021,3.206,1.0
NAmerica,PWRCTGCANWS01,2021,3.206,2.0
NAmerica,PWRWNDCANWS01,2021,0.0,1.0
NAmerica,PWRSPVCANWS01,2021,0.0,1.0
NAmerica,PWRURNCANWS01,2021,2.586,1.0
NAmerica,PWRURNCANWS01,2021,2.586,2.0
NAmerica,PWRBIOCANWS01,2021,3.528,1.0
NAmerica,PWRCOACANWS01,2022,13.676,1.0
NAmerica,PWRCOACANWS01,2022,13.676,2.0
NAmerica,PWRCOCCANWS01,2022,15.446,1.0
NAmerica,PWRCOCCANWS01,2022,15.446,2.0
NAmerica,PWRHYDCANWS01,2022,0.0,1.0
NAmerica,PWRCCGCANWS01,2022,2.552,1.0
NAmerica,PWRCCGCANWS01,2022,2.552,2.0
NAmerica,PWRCTGCANWS01,2022,3.202,1.0
NAmerica,PWRCTGCANWS01,2022,3.202,2.0
NAmerica,PWRWNDCANWS01,2022,0.0,1.0
NAmerica,PWRSPVCANWS01,2022,0.0,1.0
NAmerica,PWRURNCANWS01,2022,2.592,1.0
NAmerica,PWRURNCANWS01,2022,2.592,2.0
NAmerica,PWRBIOCANWS01,2022,3.528,1.0
