REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
CanW,WN,W1,2019,0.20990015719661104
CanW,WN,W2,2019,0.21146764839226173
CanW,WN,W3,2019,0.2148952026578518
CanW,WN,W4,2019,0.2150269843023378
CanW,WN,W5,2019,0.2094335778560812
CanW,WN,W6,2019,0.2032912551434425
CanW,WN,W7,2019,0.20114629208249402
CanW,WN,W8,2019,0.1874819204767835
CanW,WN,W9,2019,0.16613741504113794
CanW,WN,W10,2019,0.14526410513186916
CanW,WN,W11,2019,0.13410024954423982
CanW,WN,W12,2019,0.14026779090698666
CanW,WN,W13,2019,0.14859252146807383
CanW,WN,W14,2019,0.15470050339261565
CanW,WN,W15,2019,0.1607346959271396
CanW,WN,W16,2019,0.1703147502262063
CanW,WN,W17,2019,0.18433038882608038
CanW,WN,W18,2019,0.20382114497669074
CanW,WN,W19,2019,0.21842063244974202
CanW,WN,W20,2019,0.22487314443915196
CanW,WN,W21,2019,0.22260977914043534
CanW,WN,W22,2019,0.21850140769158666
CanW,WN,W23,2019,0.2148862710974399
CanW,WN,W24,2019,0.21177928581949793
CanW,WN,SP1,2019,0.1934841539567125
CanW,WN,SP2,2019,0.18521021974048932
CanW,WN,SP3,2019,0.1763211045496949
CanW,WN,SP4,2019,0.17185545289394163
CanW,WN,SP5,2019,0.17004924186629888
CanW,WN,SP6,2019,0.15580142766596589
CanW,WN,SP7,2019,0.1312122410583966
CanW,WN,SP8,2019,0.12590025754674453
CanW,WN,SP9,2019,0.15120894048750877
CanW,WN,SP10,2019,0.17953625896615294
CanW,WN,SP11,2019,0.1950065321799524
CanW,WN,SP12,2019,0.2093730180729076
CanW,WN,SP13,2019,0.22159061762119647
CanW,WN,SP14,2019,0.23203327686944564
CanW,WN,SP15,2019,0.23492708302646442
CanW,WN,SP16,2019,0.23461292174953247
CanW,WN,SP17,2019,0.22861374460468584
CanW,WN,SP18,2019,0.21212609836768037
CanW,WN,SP19,2019,0.18651352231997392
CanW,WN,SP20,2019,0.17998112186826282
CanW,WN,SP21,2019,0.2005494666059624
CanW,WN,SP22,2019,0.21421791467480816
CanW,WN,SP23,2019,0.20920143525399823
CanW,WN,SP24,2019,0.2020327789606181
CanW,WN,S1,2019,0.1746446033467686
CanW,WN,S2,2019,0.1640825379290028
CanW,WN,S3,2019,0.15748542606801558
CanW,WN,S4,2019,0.15161069064484886
CanW,WN,S5,2019,0.1468477389895419
CanW,WN,S6,2019,0.13590479452054793
CanW,WN,S7,2019,0.11759795547164084
CanW,WN,S8,2019,0.11126742055999678
CanW,WN,S9,2019,0.11508852042296586
CanW,WN,S10,2019,0.13898341814075352
CanW,WN,S11,2019,0.16076986346005345
CanW,WN,S12,2019,0.17628898083798655
CanW,WN,S13,2019,0.1878576009766244
CanW,WN,S14,2019,0.1987061567955293
CanW,WN,S15,2019,0.20387179104344366
CanW,WN,S16,2019,0.20535504693421175
CanW,WN,S17,2019,0.19606608461995118
CanW,WN,S18,2019,0.17067927998500249
CanW,WN,S19,2019,0.15230011024964626
CanW,WN,S20,2019,0.16069812196199734
CanW,WN,S21,2019,0.17812346241915394
CanW,WN,S22,2019,0.1907460165062021
CanW,WN,S23,2019,0.19305538683342482
CanW,WN,S24,2019,0.18551461834429134
CanW,WN,F1,2019,0.16848875855327466
CanW,WN,F2,2019,0.16627425492217804
CanW,WN,F3,2019,0.1648494755330593
CanW,WN,F4,2019,0.165296946040163
CanW,WN,F5,2019,0.16664099590692608
CanW,WN,F6,2019,0.16779330534688466
CanW,WN,F7,2019,0.16696216183041196
CanW,WN,F8,2019,0.16611344108339246
CanW,WN,F9,2019,0.15899164088967446
CanW,WN,F10,2019,0.1467164995067779
CanW,WN,F11,2019,0.14542909273914578
CanW,WN,F12,2019,0.15337537951320543
CanW,WN,F13,2019,0.16671836794815142
CanW,WN,F14,2019,0.18031837174216758
CanW,WN,F15,2019,0.18917276744466316
CanW,WN,F16,2019,0.19283970772684866
CanW,WN,F17,2019,0.19217882849707862
CanW,WN,F18,2019,0.19341396443444608
CanW,WN,F19,2019,0.1972225826537581
CanW,WN,F20,2019,0.19536072122015558
