REGION,STORAGE,YEAR,VALUE
CanW,TANK,2019,11673152
CanW,TANK,2020,11673152
CanW,TANK,2021,11673152
CanW,TANK,2022,11673152
CanW,TANK,2023,11673152
CanW,TANK,2024,11673152
CanW,TANK,2025,11673152
CanW,TANK,2026,11673152
CanW,TANK,2027,11673152
CanW,TANK,2028,11673152
CanW,TANK,2029,11673152
CanW,TANK,2030,11673152
CanW,TANK,2031,11673152
CanW,TANK,2032,11673152
CanW,TANK,2033,11673152
CanW,TANK,2034,11673152
CanW,TANK,2035,11673152
CanW,TANK,2036,11673152
CanW,TANK,2037,11673152
CanW,TANK,2038,11673152
CanW,TANK,2039,11673152
CanW,TANK,2040,11673152
CanW,TANK,2041,11673152
CanW,TANK,2042,11673152
CanW,TANK,2043,11673152
CanW,TANK,2044,11673152
CanW,TANK,2045,11673152
CanW,TANK,2046,11673152
CanW,TANK,2047,11673152
CanW,TANK,2048,11673152
CanW,TANK,2049,11673152
CanW,TANK,2050,11673152
CanMW,TANK,2019,11673152
CanMW,TANK,2020,11673152
CanMW,TANK,2021,11673152
CanMW,TANK,2022,11673152
CanMW,TANK,2023,11673152
CanMW,TANK,2024,11673152
CanMW,TANK,2025,11673152
CanMW,TANK,2026,11673152
CanMW,TANK,2027,11673152
CanMW,TANK,2028,11673152
CanMW,TANK,2029,11673152
CanMW,TANK,2030,11673152
CanMW,TANK,2031,11673152
CanMW,TANK,2032,11673152
CanMW,TANK,2033,11673152
CanMW,TANK,2034,11673152
CanMW,TANK,2035,11673152
CanMW,TANK,2036,11673152
CanMW,TANK,2037,11673152
CanMW,TANK,2038,11673152
CanMW,TANK,2039,11673152
CanMW,TANK,2040,11673152
CanMW,TANK,2041,11673152
CanMW,TANK,2042,11673152
CanMW,TANK,2043,11673152
CanMW,TANK,2044,11673152
CanMW,TANK,2045,11673152
CanMW,TANK,2046,11673152
CanMW,TANK,2047,11673152
CanMW,TANK,2048,11673152
CanMW,TANK,2049,11673152
CanMW,TANK,2050,11673152
CanONT,TANK,2019,11673152
CanONT,TANK,2020,11673152
CanONT,TANK,2021,11673152
CanONT,TANK,2022,11673152
CanONT,TANK,2023,11673152
CanONT,TANK,2024,11673152
CanONT,TANK,2025,11673152
CanONT,TANK,2026,11673152
CanONT,TANK,2027,11673152
CanONT,TANK,2028,11673152
CanONT,TANK,2029,11673152
CanONT,TANK,2030,11673152
CanONT,TANK,2031,11673152
CanONT,TANK,2032,11673152
CanONT,TANK,2033,11673152
CanONT,TANK,2034,11673152
CanONT,TANK,2035,11673152
CanONT,TANK,2036,11673152
CanONT,TANK,2037,11673152
CanONT,TANK,2038,11673152
CanONT,TANK,2039,11673152
CanONT,TANK,2040,11673152
CanONT,TANK,2041,11673152
CanONT,TANK,2042,11673152
CanONT,TANK,2043,11673152
CanONT,TANK,2044,11673152
CanONT,TANK,2045,11673152
CanONT,TANK,2046,11673152
CanONT,TANK,2047,11673152
CanONT,TANK,2048,11673152
CanONT,TANK,2049,11673152
CanONT,TANK,2050,11673152
CanQC,TANK,2019,11673152
CanQC,TANK,2020,11673152
CanQC,TANK,2021,11673152
CanQC,TANK,2022,11673152
CanQC,TANK,2023,11673152
CanQC,TANK,2024,11673152
CanQC,TANK,2025,11673152
CanQC,TANK,2026,11673152
CanQC,TANK,2027,11673152
CanQC,TANK,2028,11673152
CanQC,TANK,2029,11673152
CanQC,TANK,2030,11673152
CanQC,TANK,2031,11673152
CanQC,TANK,2032,11673152
CanQC,TANK,2033,11673152
CanQC,TANK,2034,11673152
CanQC,TANK,2035,11673152
CanQC,TANK,2036,11673152
CanQC,TANK,2037,11673152
CanQC,TANK,2038,11673152
CanQC,TANK,2039,11673152
CanQC,TANK,2040,11673152
CanQC,TANK,2041,11673152
CanQC,TANK,2042,11673152
CanQC,TANK,2043,11673152
CanQC,TANK,2044,11673152
CanQC,TANK,2045,11673152
CanQC,TANK,2046,11673152
CanQC,TANK,2047,11673152
CanQC,TANK,2048,11673152
CanQC,TANK,2049,11673152
CanQC,TANK,2050,11673152
CanATL,TANK,2019,11673152
CanATL,TANK,2020,11673152
CanATL,TANK,2021,11673152
CanATL,TANK,2022,11673152
CanATL,TANK,2023,11673152
CanATL,TANK,2024,11673152
CanATL,TANK,2025,11673152
CanATL,TANK,2026,11673152
CanATL,TANK,2027,11673152
CanATL,TANK,2028,11673152
CanATL,TANK,2029,11673152
CanATL,TANK,2030,11673152
CanATL,TANK,2031,11673152
CanATL,TANK,2032,11673152
CanATL,TANK,2033,11673152
CanATL,TANK,2034,11673152
CanATL,TANK,2035,11673152
CanATL,TANK,2036,11673152
CanATL,TANK,2037,11673152
CanATL,TANK,2038,11673152
CanATL,TANK,2039,11673152
CanATL,TANK,2040,11673152
CanATL,TANK,2041,11673152
CanATL,TANK,2042,11673152
CanATL,TANK,2043,11673152
CanATL,TANK,2044,11673152
CanATL,TANK,2045,11673152
CanATL,TANK,2046,11673152
CanATL,TANK,2047,11673152
CanATL,TANK,2048,11673152
CanATL,TANK,2049,11673152
CanATL,TANK,2050,11673152
