REGION,EMISSION,YEAR,VALUE
NAmerica,CO2,2019,24
NAmerica,CO2,2020,24
NAmerica,CO2,2021,24
NAmerica,CO2,2022,24
NAmerica,CO2,2023,24
NAmerica,CO2,2024,24
NAmerica,CO2,2025,24
NAmerica,CO2,2026,24
NAmerica,CO2,2027,24
NAmerica,CO2,2028,24
NAmerica,CO2,2029,24
NAmerica,CO2,2030,24
NAmerica,CO2,2031,24
NAmerica,CO2,2032,24
NAmerica,CO2,2033,24
NAmerica,CO2,2034,24
NAmerica,CO2,2035,24
NAmerica,CO2,2036,24
NAmerica,CO2,2037,24
NAmerica,CO2,2038,24
NAmerica,CO2,2039,24
NAmerica,CO2,2040,24
NAmerica,CO2,2041,24
NAmerica,CO2,2042,24
NAmerica,CO2,2043,24
NAmerica,CO2,2044,24
NAmerica,CO2,2045,24
NAmerica,CO2,2046,24
NAmerica,CO2,2047,24
NAmerica,CO2,2048,24
NAmerica,CO2,2049,24
NAmerica,CO2,2050,24
