REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRCOACANWS01,2019,56.07067226112
NAmerica,PWRCOCCANWS01,2019,53.1139489194499
NAmerica,PWRHYDCANWS01,2019,43.62768276240371
NAmerica,PWRCCGCANWS01,2019,12.86345776031434
NAmerica,PWRCTGCANWS01,2019,11.394891944990176
NAmerica,PWRWNDCANWS01,2019,42.85076923076922
NAmerica,PWRSPVCANWS01,2019,16.080000000000002
NAmerica,PWRURNCANWS01,2019,118.98821218074656
NAmerica,PWRBIOCANWS01,2019,122.97642436149312
NAmerica,PWRCOACANWS01,2020,56.07067226112
NAmerica,PWRCOCCANWS01,2020,53.1139489194499
NAmerica,PWRHYDCANWS01,2020,43.62768276240371
NAmerica,PWRCCGCANWS01,2020,12.86345776031434
NAmerica,PWRCTGCANWS01,2020,11.394891944990176
NAmerica,PWRWNDCANWS01,2020,42.49615384615384
NAmerica,PWRSPVCANWS01,2020,15.85184692352411
NAmerica,PWRURNCANWS01,2020,118.98821218074656
NAmerica,PWRBIOCANWS01,2020,122.97642436149312
NAmerica,PWRCOACANWS01,2021,56.07067226112
NAmerica,PWRCOCCANWS01,2021,53.1139489194499
NAmerica,PWRHYDCANWS01,2021,43.62768276240371
NAmerica,PWRCCGCANWS01,2021,12.86345776031434
NAmerica,PWRCTGCANWS01,2021,11.394891944990176
NAmerica,PWRWNDCANWS01,2021,42.14153846153845
NAmerica,PWRSPVCANWS01,2021,15.246183159086234
NAmerica,PWRURNCANWS01,2021,118.98821218074656
NAmerica,PWRBIOCANWS01,2021,122.97642436149312
NAmerica,PWRCOACANWS01,2022,56.07067226112
NAmerica,PWRCOCCANWS01,2022,53.1139489194499
NAmerica,PWRHYDCANWS01,2022,43.62768276240371
NAmerica,PWRCCGCANWS01,2022,12.86345776031434
NAmerica,PWRCTGCANWS01,2022,11.394891944990176
NAmerica,PWRWNDCANWS01,2022,41.78692307692307
NAmerica,PWRSPVCANWS01,2022,14.640519394648356
NAmerica,PWRURNCANWS01,2022,118.98821218074656
NAmerica,PWRBIOCANWS01,2022,122.97642436149312
NAmerica,PWRCOACANWS01,2023,56.07067226112
NAmerica,PWRCOCCANWS01,2023,53.1139489194499
NAmerica,PWRHYDCANWS01,2023,43.62768276240371
NAmerica,PWRCCGCANWS01,2023,12.86345776031434
NAmerica,PWRCTGCANWS01,2023,11.394891944990176
NAmerica,PWRWNDCANWS01,2023,41.43230769230768
NAmerica,PWRSPVCANWS01,2023,14.03485563021048
NAmerica,PWRURNCANWS01,2023,118.98821218074656
NAmerica,PWRBIOCANWS01,2023,122.97642436149312
NAmerica,PWRCOACANWS01,2024,56.07067226112
NAmerica,PWRCOCCANWS01,2024,53.1139489194499
