REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
W,HYD,Hydro_F,1,2019,1.0
W,HYD,Hydro_F,1,2020,1.0
W,HYD,Hydro_F,1,2021,1.0
W,HYD,Hydro_F,1,2022,1.0
W,HYD,Hydro_F,1,2023,1.0
W,HYD,Hydro_F,1,2024,1.0
W,HYD,Hydro_F,1,2025,1.0
W,HYD,Hydro_F,1,2026,1.0
W,HYD,Hydro_F,1,2027,1.0
W,HYD,Hydro_F,1,2028,1.0
W,HYD,Hydro_F,1,2029,1.0
W,HYD,Hydro_F,1,2030,1.0
W,HYD,Hydro_F,1,2031,1.0
W,HYD,Hydro_F,1,2032,1.0
W,HYD,Hydro_F,1,2033,1.0
W,HYD,Hydro_F,1,2034,1.0
W,HYD,Hydro_F,1,2035,1.0
W,HYD,Hydro_F,1,2036,1.0
W,HYD,Hydro_F,1,2037,1.0
W,HYD,Hydro_F,1,2038,1.0
W,HYD,Hydro_F,1,2039,1.0
W,HYD,Hydro_F,1,2040,1.0
W,HYD,Hydro_F,1,2041,1.0
W,HYD,Hydro_F,1,2042,1.0
W,HYD,Hydro_F,1,2043,1.0
W,HYD,Hydro_F,1,2044,1.0
W,HYD,Hydro_F,1,2045,1.0
W,HYD,Hydro_F,1,2046,1.0
W,HYD,Hydro_F,1,2047,1.0
W,HYD,Hydro_F,1,2048,1.0
W,HYD,Hydro_F,1,2049,1.0
W,HYD,Hydro_F,1,2050,1.0
W,WN,Wind_F,1,2019,1.0
W,WN,Wind_F,1,2020,1.0
W,WN,Wind_F,1,2021,1.0
W,WN,Wind_F,1,2022,1.0
W,WN,Wind_F,1,2023,1.0
W,WN,Wind_F,1,2024,1.0
W,WN,Wind_F,1,2025,1.0
W,WN,Wind_F,1,2026,1.0
W,WN,Wind_F,1,2027,1.0
W,WN,Wind_F,1,2028,1.0
W,WN,Wind_F,1,2029,1.0
W,WN,Wind_F,1,2030,1.0
W,WN,Wind_F,1,2031,1.0
W,WN,Wind_F,1,2032,1.0
W,WN,Wind_F,1,2033,1.0
W,WN,Wind_F,1,2034,1.0
W,WN,Wind_F,1,2035,1.0
W,WN,Wind_F,1,2036,1.0
W,WN,Wind_F,1,2037,1.0
W,WN,Wind_F,1,2038,1.0
W,WN,Wind_F,1,2039,1.0
W,WN,Wind_F,1,2040,1.0
W,WN,Wind_F,1,2041,1.0
W,WN,Wind_F,1,2042,1.0
W,WN,Wind_F,1,2043,1.0
W,WN,Wind_F,1,2044,1.0
W,WN,Wind_F,1,2045,1.0
W,WN,Wind_F,1,2046,1.0
W,WN,Wind_F,1,2047,1.0
W,WN,Wind_F,1,2048,1.0
W,WN,Wind_F,1,2049,1.0
W,WN,Wind_F,1,2050,1.0
W,BIO,Bio_F,1,2019,13.5
W,BIO,Bio_F,1,2020,13.5
W,BIO,Bio_F,1,2021,13.5
W,BIO,Bio_F,1,2022,13.5
W,BIO,Bio_F,1,2023,13.5
W,BIO,Bio_F,1,2024,13.5
W,BIO,Bio_F,1,2025,13.5
W,BIO,Bio_F,1,2026,13.5
W,BIO,Bio_F,1,2027,13.5
W,BIO,Bio_F,1,2028,13.5
W,BIO,Bio_F,1,2029,13.5
W,BIO,Bio_F,1,2030,13.5
W,BIO,Bio_F,1,2031,13.5
W,BIO,Bio_F,1,2032,13.5
W,BIO,Bio_F,1,2033,13.5
W,BIO,Bio_F,1,2034,13.5
W,BIO,Bio_F,1,2035,13.5
W,BIO,Bio_F,1,2036,13.5
W,BIO,Bio_F,1,2037,13.5
W,BIO,Bio_F,1,2038,13.5
W,BIO,Bio_F,1,2039,13.5
W,BIO,Bio_F,1,2040,13.5
W,BIO,Bio_F,1,2041,13.5
W,BIO,Bio_F,1,2042,13.5
W,BIO,Bio_F,1,2043,13.5
W,BIO,Bio_F,1,2044,13.5
W,BIO,Bio_F,1,2045,13.5
W,BIO,Bio_F,1,2046,13.5
W,BIO,Bio_F,1,2047,13.5
W,BIO,Bio_F,1,2048,13.5
W,BIO,Bio_F,1,2049,13.5
W,BIO,Bio_F,1,2050,13.5
W,CL,Coal_F,1,2019,11.13721429
W,CL,Coal_F,1,2020,10.96628571
W,CL,Coal_F,1,2021,10.79535714
W,CL,Coal_F,1,2022,10.62442857
W,CL,Coal_F,1,2023,10.4535
W,CL,Coal_F,1,2024,10.28257143
W,CL,Coal_F,1,2025,10.11164286
W,CL,Coal_F,1,2026,9.940714286
W,CL,Coal_F,1,2027,9.769785714
W,CL,Coal_F,1,2028,9.598857143
W,CL,Coal_F,1,2029,9.427928571
W,CL,Coal_F,1,2030,9.257
W,CL,Coal_F,1,2031,9.257
W,CL,Coal_F,1,2032,9.257
W,CL,Coal_F,1,2033,9.257
W,CL,Coal_F,1,2034,9.257
W,CL,Coal_F,1,2035,9.257
W,CL,Coal_F,1,2036,9.257
W,CL,Coal_F,1,2037,9.257
W,CL,Coal_F,1,2038,9.257
W,CL,Coal_F,1,2039,9.257
W,CL,Coal_F,1,2040,9.257
W,CL,Coal_F,1,2041,9.257
W,CL,Coal_F,1,2042,9.257
W,CL,Coal_F,1,2043,9.257
W,CL,Coal_F,1,2044,9.257
W,CL,Coal_F,1,2045,9.257
W,CL,Coal_F,1,2046,9.257
W,CL,Coal_F,1,2047,9.257
W,CL,Coal_F,1,2048,9.257
W,CL,Coal_F,1,2049,9.257
W,CL,Coal_F,1,2050,9.257
W,CLCCS,Coal_F,1,2019,8.787142857
W,CLCCS,Coal_F,1,2020,8.782857143
W,CLCCS,Coal_F,1,2021,8.778571429
W,CLCCS,Coal_F,1,2022,8.774285714
W,CLCCS,Coal_F,1,2023,8.77
W,CLCCS,Coal_F,1,2024,8.765714286
W,CLCCS,Coal_F,1,2025,8.761428571
W,CLCCS,Coal_F,1,2026,8.757142857
W,CLCCS,Coal_F,1,2027,8.752857143
W,CLCCS,Coal_F,1,2028,8.748571429
W,CLCCS,Coal_F,1,2029,8.744285714
W,CLCCS,Coal_F,1,2030,8.74
