REGION,TECHNOLOGY,VALUE
CanW,CL,45
CanW,CLCCS,45
CanW,NUC,60
CanW,HYD,100
CanW,WN,30
CanW,PV,30
CanW,BIO,45
CanW,OI,1
CanW,P2G,10
CanW,FC,10
CanW,NGCC,35
CanW,NGCT,35
CanMW,CL,45
CanMW,CLCCS,45
CanMW,NUC,60
CanMW,HYD,100
CanMW,WN,30
CanMW,PV,30
CanMW,BIO,45
CanMW,OI,1
CanMW,P2G,10
CanMW,FC,10
CanMW,NGCC,35
CanMW,NGCT,35
CanONT,CL,45
CanONT,CLCCS,45
CanONT,NUC,60
CanONT,HYD,100
CanONT,WN,30
CanONT,PV,30
CanONT,BIO,45
CanONT,OI,1
CanONT,P2G,10
CanONT,FC,10
CanONT,NGCC,35
CanONT,NGCT,35
CanQC,CL,45
CanQC,CLCCS,45
CanQC,NUC,60
CanQC,HYD,100
CanQC,WN,30
CanQC,PV,30
CanQC,BIO,45
CanQC,OI,1
CanQC,P2G,10
CanQC,FC,10
CanQC,NGCC,35
CanQC,NGCT,35
CanATL,CL,45
CanATL,CLCCS,45
CanATL,NUC,60
CanATL,HYD,100
CanATL,WN,30
CanATL,PV,30
CanATL,BIO,45
CanATL,OI,1
CanATL,P2G,10
CanATL,FC,10
CanATL,NGCC,35
CanATL,NGCT,35
