REGION,TECHNOLOGY,YEAR,VALUE
W,HYD,2019,1
W,HYD,2020,1
W,HYD,2021,1
W,HYD,2022,1
W,HYD,2023,1
W,HYD,2024,1
W,HYD,2025,1
W,HYD,2026,1
W,HYD,2027,1
W,HYD,2028,1
W,HYD,2029,1
W,HYD,2030,1
W,HYD,2031,1
W,HYD,2032,1
W,HYD,2033,1
W,HYD,2034,1
W,HYD,2035,1
W,HYD,2036,1
W,HYD,2037,1
W,HYD,2038,1
W,HYD,2039,1
W,HYD,2040,1
W,HYD,2041,1
W,HYD,2042,1
W,HYD,2043,1
W,HYD,2044,1
W,HYD,2045,1
W,HYD,2046,1
W,HYD,2047,1
W,HYD,2048,1
W,HYD,2049,1
W,HYD,2050,1
W,WN,2019,1
W,WN,2020,1
W,WN,2021,1
W,WN,2022,1
W,WN,2023,1
W,WN,2024,1
W,WN,2025,1
W,WN,2026,1
W,WN,2027,1
W,WN,2028,1
W,WN,2029,1
W,WN,2030,1
W,WN,2031,1
W,WN,2032,1
W,WN,2033,1
W,WN,2034,1
W,WN,2035,1
W,WN,2036,1
W,WN,2037,1
W,WN,2038,1
W,WN,2039,1
W,WN,2040,1
W,WN,2041,1
W,WN,2042,1
W,WN,2043,1
W,WN,2044,1
W,WN,2045,1
W,WN,2046,1
W,WN,2047,1
W,WN,2048,1
W,WN,2049,1
W,WN,2050,1
W,BIO,2019,1
W,BIO,2020,1
W,BIO,2021,1
W,BIO,2022,1
W,BIO,2023,1
W,BIO,2024,1
W,BIO,2025,1
W,BIO,2026,1
W,BIO,2027,1
W,BIO,2028,1
W,BIO,2029,1
W,BIO,2030,1
W,BIO,2031,1
W,BIO,2032,1
W,BIO,2033,1
W,BIO,2034,1
W,BIO,2035,1
W,BIO,2036,1
W,BIO,2037,1
W,BIO,2038,1
W,BIO,2039,1
W,BIO,2040,1
W,BIO,2041,1
W,BIO,2042,1
W,BIO,2043,1
W,BIO,2044,1
W,BIO,2045,1
W,BIO,2046,1
W,BIO,2047,1
W,BIO,2048,1
W,BIO,2049,1
W,BIO,2050,1
W,PV,2019,1
W,PV,2020,1
W,PV,2021,1
