REGION,YEAR,VALUE
W,2019,1.15
W,2020,1.15
W,2021,1.15
W,2022,1.15
W,2023,1.15
W,2024,1.15
W,2025,1.15
W,2026,1.15
W,2027,1.15
W,2028,1.15
W,2029,1.15
W,2030,1.15
W,2031,1.15
W,2032,1.15
W,2033,1.15
W,2034,1.15
W,2035,1.15
W,2036,1.15
W,2037,1.15
W,2038,1.15
W,2039,1.15
W,2040,1.15
W,2041,1.15
W,2042,1.15
W,2043,1.15
W,2044,1.15
W,2045,1.15
W,2046,1.15
W,2047,1.15
W,2048,1.15
W,2049,1.15
W,2050,1.15
MW,2019,1.42
MW,2020,1.42
MW,2021,1.42
MW,2022,1.42
MW,2023,1.42
MW,2024,1.42
MW,2025,1.42
MW,2026,1.42
MW,2027,1.42
MW,2028,1.42
MW,2029,1.42
MW,2030,1.42
MW,2031,1.42
MW,2032,1.42
MW,2033,1.42
MW,2034,1.42
MW,2035,1.42
MW,2036,1.42
MW,2037,1.42
MW,2038,1.42
MW,2039,1.42
MW,2040,1.42
MW,2041,1.42
MW,2042,1.42
MW,2043,1.42
MW,2044,1.42
MW,2045,1.42
MW,2046,1.42
MW,2047,1.42
MW,2048,1.42
MW,2049,1.42
MW,2050,1.42
ME,2019,1.15
ME,2020,1.15
ME,2021,1.15
ME,2022,1.15
ME,2023,1.15
ME,2024,1.15
ME,2025,1.15
ME,2026,1.15
ME,2027,1.15
ME,2028,1.15
ME,2029,1.15
ME,2030,1.15
ME,2031,1.15
ME,2032,1.15
ME,2033,1.15
ME,2034,1.15
ME,2035,1.15
ME,2036,1.15
ME,2037,1.15
ME,2038,1.15
ME,2039,1.15
ME,2040,1.15
ME,2041,1.15
ME,2042,1.15
ME,2043,1.15
ME,2044,1.15
ME,2045,1.15
ME,2046,1.15
ME,2047,1.15
ME,2048,1.15
ME,2049,1.15
ME,2050,1.15
E,2019,1.41
E,2020,1.41
E,2021,1.41
E,2022,1.41
E,2023,1.41
E,2024,1.41
E,2025,1.41
E,2026,1.41
E,2027,1.41
E,2028,1.41
E,2029,1.41
E,2030,1.41
E,2031,1.41
E,2032,1.41
E,2033,1.41
E,2034,1.41
E,2035,1.41
E,2036,1.41
E,2037,1.41
E,2038,1.41
E,2039,1.41
E,2040,1.41
E,2041,1.41
E,2042,1.41
E,2043,1.41
E,2044,1.41
E,2045,1.41
E,2046,1.41
E,2047,1.41
E,2048,1.41
E,2049,1.41
E,2050,1.41
