REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRHYDCANWS01,2019,1
NAmerica,PWRBIOCANWS01,2019,1
NAmerica,PWRCCGCANWS01,2019,1
NAmerica,PWRCTGCANWS01,2019,1
NAmerica,PWRURNCANWS01,2019,1
NAmerica,PWRCOACANWS01,2019,1
NAmerica,PWRCOCCANWS01,2019,1
NAmerica,PWRWNDCANWS01,2019,1
NAmerica,PWRSPVCANWS01,2019,1
NAmerica,PWRHYDCANWS01,2020,1
NAmerica,PWRBIOCANWS01,2020,1
NAmerica,PWRCCGCANWS01,2020,1
NAmerica,PWRCTGCANWS01,2020,1
NAmerica,PWRURNCANWS01,2020,1
NAmerica,PWRCOACANWS01,2020,1
NAmerica,PWRCOCCANWS01,2020,1
NAmerica,PWRWNDCANWS01,2020,1
NAmerica,PWRSPVCANWS01,2020,1
NAmerica,PWRHYDCANWS01,2021,1
NAmerica,PWRBIOCANWS01,2021,1
NAmerica,PWRCCGCANWS01,2021,1
NAmerica,PWRCTGCANWS01,2021,1
NAmerica,PWRURNCANWS01,2021,1
NAmerica,PWRCOACANWS01,2021,1
NAmerica,PWRCOCCANWS01,2021,1
NAmerica,PWRWNDCANWS01,2021,1
NAmerica,PWRSPVCANWS01,2021,1
NAmerica,PWRHYDCANWS01,2022,1
NAmerica,PWRBIOCANWS01,2022,1
NAmerica,PWRCCGCANWS01,2022,1
NAmerica,PWRCTGCANWS01,2022,1
NAmerica,PWRURNCANWS01,2022,1
NAmerica,PWRCOACANWS01,2022,1
NAmerica,PWRCOCCANWS01,2022,1
NAmerica,PWRWNDCANWS01,2022,1
NAmerica,PWRSPVCANWS01,2022,1
NAmerica,PWRHYDCANWS01,2023,1
NAmerica,PWRBIOCANWS01,2023,1
NAmerica,PWRCCGCANWS01,2023,1
NAmerica,PWRCTGCANWS01,2023,1
NAmerica,PWRURNCANWS01,2023,1
NAmerica,PWRCOACANWS01,2023,1
NAmerica,PWRCOCCANWS01,2023,1
NAmerica,PWRWNDCANWS01,2023,1
NAmerica,PWRSPVCANWS01,2023,1
NAmerica,PWRHYDCANWS01,2024,1
NAmerica,PWRBIOCANWS01,2024,1
NAmerica,PWRCCGCANWS01,2024,1
NAmerica,PWRCTGCANWS01,2024,1
NAmerica,PWRURNCANWS01,2024,1
NAmerica,PWRCOACANWS01,2024,1
NAmerica,PWRCOCCANWS01,2024,1
NAmerica,PWRWNDCANWS01,2024,1
NAmerica,PWRSPVCANWS01,2024,1
NAmerica,PWRHYDCANWS01,2025,1
NAmerica,PWRBIOCANWS01,2025,1
NAmerica,PWRCCGCANWS01,2025,1
NAmerica,PWRCTGCANWS01,2025,1
NAmerica,PWRURNCANWS01,2025,1
NAmerica,PWRCOACANWS01,2025,1
NAmerica,PWRCOCCANWS01,2025,1
NAmerica,PWRWNDCANWS01,2025,1
NAmerica,PWRSPVCANWS01,2025,1
NAmerica,PWRHYDCANWS01,2026,1
NAmerica,PWRBIOCANWS01,2026,1
NAmerica,PWRCCGCANWS01,2026,1
NAmerica,PWRCTGCANWS01,2026,1
