REGION,TECHNOLOGY,YEAR,VALUE
W,CL,2019,5.32
W,CL,2020,5.32
W,CL,2021,5.32
W,CL,2022,5.32
W,CL,2023,5.32
W,CL,2024,5.32
W,CL,2025,5.32
W,CL,2026,3.459
W,CL,2027,3.459
W,CL,2028,3.459
W,CL,2029,2.619
W,CL,2030,2.619
W,CL,2031,1.243
W,CL,2032,0.463
W,CL,2033,0.463
W,CL,2034,0.463
W,CL,2035,0.463
W,CL,2036,0.463
W,CL,2037,0.463
W,CL,2038,0.463
W,CL,2039,0.463
W,CL,2040,0.463
W,CL,2041,0.463
W,CL,2042,0.463
W,CL,2043,0.463
W,CL,2044,0.463
W,CL,2045,0.463
W,CL,2046,0.463
W,CL,2047,0.463
W,CL,2048,0.463
W,CL,2049,0.463
W,CL,2050,0.463
W,CLCCS,2019,0.0
W,CLCCS,2020,0.0
W,CLCCS,2021,0.0
W,CLCCS,2022,0.0
W,CLCCS,2023,0.0
W,CLCCS,2024,0.0
W,CLCCS,2025,0.0
W,CLCCS,2026,0.0
W,CLCCS,2027,0.0
W,CLCCS,2028,0.0
W,CLCCS,2029,0.0
W,CLCCS,2030,0.0
W,CLCCS,2031,0.0
W,CLCCS,2032,0.0
W,CLCCS,2033,0.0
W,CLCCS,2034,0.0
W,CLCCS,2035,0.0
W,CLCCS,2036,0.0
W,CLCCS,2037,0.0
W,CLCCS,2038,0.0
W,CLCCS,2039,0.0
W,CLCCS,2040,0.0
W,CLCCS,2041,0.0
W,CLCCS,2042,0.0
W,CLCCS,2043,0.0
W,CLCCS,2044,0.0
W,CLCCS,2045,0.0
W,CLCCS,2046,0.0
W,CLCCS,2047,0.0
W,CLCCS,2048,0.0
W,CLCCS,2049,0.0
W,CLCCS,2050,0.0
W,NUC,2019,0.0
W,NUC,2020,0.0
W,NUC,2021,0.0
W,NUC,2022,0.0
W,NUC,2023,0.0
W,NUC,2024,0.0
W,NUC,2025,0.0
W,NUC,2026,0.0
W,NUC,2027,0.0
W,NUC,2028,0.0
W,NUC,2029,0.0
W,NUC,2030,0.0
W,NUC,2031,0.0
W,NUC,2032,0.0
W,NUC,2033,0.0
W,NUC,2034,0.0
W,NUC,2035,0.0
W,NUC,2036,0.0
W,NUC,2037,0.0
W,NUC,2038,0.0
W,NUC,2039,0.0
W,NUC,2040,0.0
W,NUC,2041,0.0
W,NUC,2042,0.0
W,NUC,2043,0.0
W,NUC,2044,0.0
W,NUC,2045,0.0
W,NUC,2046,0.0
W,NUC,2047,0.0
W,NUC,2048,0.0
W,NUC,2049,0.0
W,NUC,2050,0.0
W,HYD,2019,16.624624
W,HYD,2020,16.624624
W,HYD,2021,16.624624
W,HYD,2022,16.624624
W,HYD,2023,16.624624
W,HYD,2024,16.624624
W,HYD,2025,17.724624
W,HYD,2026,17.724624
W,HYD,2027,17.724624
W,HYD,2028,17.724624
W,HYD,2029,17.724624
W,HYD,2030,17.724624
W,HYD,2031,17.724624
W,HYD,2032,17.724624
W,HYD,2033,17.724624
W,HYD,2034,17.724624
W,HYD,2035,17.724624
W,HYD,2036,17.724624
W,HYD,2037,17.724624
W,HYD,2038,17.724624
W,HYD,2039,17.724624
W,HYD,2040,17.724624
W,HYD,2041,17.724624
W,HYD,2042,17.724624
W,HYD,2043,17.724624
W,HYD,2044,17.724624
W,HYD,2045,17.724624
W,HYD,2046,17.724624
W,HYD,2047,17.724624
W,HYD,2048,17.724624
W,HYD,2049,17.724624
W,HYD,2050,17.724624
W,WN,2019,2.313
W,WN,2020,2.447
W,WN,2021,2.804
W,WN,2022,4.1419
W,WN,2023,4.9065
W,WN,2024,4.9065
W,WN,2025,5.7085
W,WN,2026,5.7085
W,WN,2027,5.7085
W,WN,2028,5.7085
W,WN,2029,5.7085
W,WN,2030,5.7085
W,WN,2031,5.7085
W,WN,2032,5.6815
W,WN,2033,5.6815
W,WN,2034,5.6065
W,WN,2035,5.5035
W,WN,2036,5.5005
W,WN,2037,5.4
W,WN,2038,5.3164
W,WN,2039,5.3164
W,WN,2040,5.1484000000000005
W,WN,2041,4.932900000000001
W,WN,2042,4.7009
W,WN,2043,4.3317
W,WN,2044,4.2325
W,WN,2045,3.8865
W,WN,2046,3.8575
W,WN,2047,3.8365
W,WN,2048,3.6275
W,WN,2049,3.5975
W,WN,2050,3.3955
W,PV,2019,0.019039999999999998
W,PV,2020,0.11574000000000001
W,PV,2021,0.7300399999999999
W,PV,2022,2.22454
W,PV,2023,2.30154
W,PV,2024,2.30154
W,PV,2025,2.32654
W,PV,2026,2.32654
W,PV,2027,2.32654
W,PV,2028,2.32654
W,PV,2029,2.32654
W,PV,2030,2.32654
W,PV,2031,2.32654
W,PV,2032,2.32654
W,PV,2033,2.32654
W,PV,2034,2.32654
W,PV,2035,2.32654
W,PV,2036,2.32654
W,PV,2037,2.32654
W,PV,2038,2.32654
W,PV,2039,2.32654
W,PV,2040,2.32654
W,PV,2041,2.32654
W,PV,2042,2.32654
W,PV,2043,2.32654
W,PV,2044,2.32654
W,PV,2045,2.32654
W,PV,2046,2.32549
W,PV,2047,2.32549
W,PV,2048,2.30849
W,PV,2049,2.30849
W,PV,2050,2.3075
W,BIO,2019,1.0484299999999998
W,BIO,2020,1.0484299999999998
W,BIO,2021,1.0484299999999998
W,BIO,2022,1.0484299999999998
W,BIO,2023,1.0484299999999998
W,BIO,2024,1.0484299999999998
W,BIO,2025,1.0484299999999998
W,BIO,2026,1.0484299999999998
W,BIO,2027,1.0484299999999998
W,BIO,2028,1.0484299999999998
W,BIO,2029,1.0484299999999998
W,BIO,2030,1.0484299999999998
W,BIO,2031,1.0484299999999998
W,BIO,2032,1.0484299999999998
W,BIO,2033,1.0484299999999998
W,BIO,2034,1.0484299999999998
W,BIO,2035,1.0484299999999998
W,BIO,2036,1.0484299999999998
W,BIO,2037,1.0484299999999998
W,BIO,2038,1.0484299999999998
W,BIO,2039,1.0484299999999998
W,BIO,2040,1.0234299999999998
W,BIO,2041,1.0234299999999998
W,BIO,2042,1.01143
W,BIO,2043,1.01143
W,BIO,2044,1.01143
W,BIO,2045,0.9954299999999999
W,BIO,2046,0.9954299999999999
W,BIO,2047,0.9954299999999999
W,BIO,2048,0.9454300000000001
W,BIO,2049,0.91603
W,BIO,2050,0.91603
W,OI,2019,0.0
W,OI,2020,0.0
W,OI,2021,0.0
W,OI,2022,0.0
W,OI,2023,0.0
W,OI,2024,0.0
W,OI,2025,0.0
W,OI,2026,0.0
W,OI,2027,0.0
W,OI,2028,0.0
W,OI,2029,0.0
W,OI,2030,0.0
W,OI,2031,0.0
W,OI,2032,0.0
W,OI,2033,0.0
W,OI,2034,0.0
W,OI,2035,0.0
W,OI,2036,0.0
W,OI,2037,0.0
W,OI,2038,0.0
W,OI,2039,0.0
W,OI,2040,0.0
W,OI,2041,0.0
W,OI,2042,0.0
W,OI,2043,0.0
W,OI,2044,0.0
W,OI,2045,0.0
W,OI,2046,0.0
W,OI,2047,0.0
W,OI,2048,0.0
W,OI,2049,0.0
W,OI,2050,0.0
W,P2G,2019,0.0
W,P2G,2020,0.0
W,P2G,2021,0.0
W,P2G,2022,0.0
W,P2G,2023,0.0
W,P2G,2024,0.0
W,P2G,2025,0.0
W,P2G,2026,0.0
W,P2G,2027,0.0
W,P2G,2028,0.0
W,P2G,2029,0.0
W,P2G,2030,0.0
W,P2G,2031,0.0
W,P2G,2032,0.0
W,P2G,2033,0.0
W,P2G,2034,0.0
W,P2G,2035,0.0
W,P2G,2036,0.0
W,P2G,2037,0.0
W,P2G,2038,0.0
W,P2G,2039,0.0
W,P2G,2040,0.0
W,P2G,2041,0.0
W,P2G,2042,0.0
W,P2G,2043,0.0
W,P2G,2044,0.0
W,P2G,2045,0.0
W,P2G,2046,0.0
W,P2G,2047,0.0
W,P2G,2048,0.0
W,P2G,2049,0.0
W,P2G,2050,0.0
W,FC,2019,0.0
W,FC,2020,0.0
W,FC,2021,0.0
W,FC,2022,0.0
W,FC,2023,0.0
W,FC,2024,0.0
W,FC,2025,0.0
W,FC,2026,0.0
W,FC,2027,0.0
W,FC,2028,0.0
W,FC,2029,0.0
W,FC,2030,0.0
W,FC,2031,0.0
W,FC,2032,0.0
W,FC,2033,0.0
W,FC,2034,0.0
W,FC,2035,0.0
W,FC,2036,0.0
W,FC,2037,0.0
W,FC,2038,0.0
W,FC,2039,0.0
W,FC,2040,0.0
W,FC,2041,0.0
