REGION,FUEL,YEAR,VALUE
W,ELC,2019,527.09
W,ELC,2020,533.13
W,ELC,2021,539.17
W,ELC,2022,545.8
W,ELC,2023,554.29
W,ELC,2024,562
W,ELC,2025,571.77
W,ELC,2026,583.93
W,ELC,2027,591.83
W,ELC,2028,598.45
W,ELC,2029,605.11
W,ELC,2030,614.09
W,ELC,2031,624.07
W,ELC,2032,632.98
W,ELC,2033,640.07
W,ELC,2034,646.13
W,ELC,2035,653.85
W,ELC,2036,661.55
W,ELC,2037,669.34
W,ELC,2038,677.77
W,ELC,2039,686.14
W,ELC,2040,694.3
W,ELC,2041,703.0938961
W,ELC,2042,711.2172388
W,ELC,2043,719.3405816
W,ELC,2044,727.4639243
W,ELC,2045,735.5872671
W,ELC,2046,743.7106098
W,ELC,2047,751.8339526
W,ELC,2048,759.9572953
W,ELC,2049,768.0806381
W,ELC,2050,776.2039808
MW,ELC,2019,164.43
MW,ELC,2020,166.4
MW,ELC,2021,168.54
MW,ELC,2022,169.58
MW,ELC,2023,170.53
MW,ELC,2024,171.53
MW,ELC,2025,172.71
MW,ELC,2026,174.24
MW,ELC,2027,175.57
MW,ELC,2028,176.64
MW,ELC,2029,177.69
MW,ELC,2030,178.82
MW,ELC,2031,179.91
MW,ELC,2032,180.81
MW,ELC,2033,181.76
MW,ELC,2034,182.65
MW,ELC,2035,183.57
MW,ELC,2036,184.37
MW,ELC,2037,185.24
MW,ELC,2038,186.13
MW,ELC,2039,187.1
MW,ELC,2040,187.97
MW,ELC,2041,189.9772727
MW,ELC,2042,191.0575494
MW,ELC,2043,192.1378261
MW,ELC,2044,193.2181028
MW,ELC,2045,194.2983794
MW,ELC,2046,195.3786561
MW,ELC,2047,196.4589328
MW,ELC,2048,197.5392095
MW,ELC,2049,198.6194862
MW,ELC,2050,199.6997628
ME,ELC,2019,531.57
ME,ELC,2020,534.28
ME,ELC,2021,537.25
ME,ELC,2022,540.21
ME,ELC,2023,542.91
ME,ELC,2024,545.75
ME,ELC,2025,547.86
ME,ELC,2026,549.16
ME,ELC,2027,550.75
ME,ELC,2028,552.77
ME,ELC,2029,555.25
ME,ELC,2030,557.85
ME,ELC,2031,560.72
ME,ELC,2032,563.2
ME,ELC,2033,565.63
ME,ELC,2034,567.85
ME,ELC,2035,570.03
ME,ELC,2036,572
ME,ELC,2037,573.76
ME,ELC,2038,575.38
ME,ELC,2039,576.93
ME,ELC,2040,578.35
ME,ELC,2041,582.5945455
ME,ELC,2042,584.8381028
ME,ELC,2043,587.0816601
ME,ELC,2044,589.3252174
ME,ELC,2045,591.5687747
ME,ELC,2046,593.812332
ME,ELC,2047,596.0558893
ME,ELC,2048,598.2994466
ME,ELC,2049,600.543004
ME,ELC,2050,602.7865613
E,ELC,2019,720.17
E,ELC,2020,725.93
E,ELC,2021,736.27
E,ELC,2022,746.26
E,ELC,2023,756.74
E,ELC,2024,766.97
E,ELC,2025,775.25
E,ELC,2026,782.82
E,ELC,2027,790.58
E,ELC,2028,798.74
E,ELC,2029,806.57
E,ELC,2030,814.72
E,ELC,2031,823.01
E,ELC,2032,831.02
E,ELC,2033,838.7
E,ELC,2034,845.78
E,ELC,2035,852.44
E,ELC,2036,858.66
E,ELC,2037,864.49
E,ELC,2038,870.16
E,ELC,2039,874.21
E,ELC,2040,878.11
E,ELC,2041,896.5003896
E,ELC,2042,904.2688029
E,ELC,2043,912.0372163
E,ELC,2044,919.8056296
E,ELC,2045,927.5740429
E,ELC,2046,935.3424562
E,ELC,2047,943.1108696
E,ELC,2048,950.8792829
E,ELC,2049,958.6476962
E,ELC,2050,966.4161095
