,VALUE
0,PWRBIOCANQC01
1,PWRCCGCANQC01
2,PWRCTGCANQC01
3,PWRCOACANQC01
4,PWRCOCCANQC01
5,PWRHYDCANQC01
6,PWRSPVCANQC01
7,PWRURNCANQC01
8,PWRWNDCANQC01
9,PWRBIOCANAT01
10,PWRCCGCANAT01
11,PWRCTGCANAT01
12,PWRCOACANAT01
13,PWRCOCCANAT01
14,PWRHYDCANAT01
15,PWRSPVCANAT01
16,PWRURNCANAT01
17,PWRWNDCANAT01
18,PWRBIOCANWS01
19,PWRCCGCANWS01
20,PWRCTGCANWS01
21,PWRCOACANWS01
22,PWRCOCCANWS01
23,PWRHYDCANWS01
24,PWRSPVCANWS01
25,PWRURNCANWS01
26,PWRWNDCANWS01
27,PWRBIOCANOT01
28,PWRCCGCANOT01
29,PWRCTGCANOT01
30,PWRCOACANOT01
31,PWRCOCCANOT01
32,PWRHYDCANOT01
33,PWRSPVCANOT01
34,PWRURNCANOT01
35,PWRWNDCANOT01
36,PWRBIOCANMW01
37,PWRCCGCANMW01
38,PWRCTGCANMW01
39,PWRCOACANMW01
40,PWRCOCCANMW01
41,PWRHYDCANMW01
42,PWRSPVCANMW01
43,PWRURNCANMW01
44,PWRWNDCANMW01
45,PWRTRNCANQC
46,PWRTRNCANAT
47,PWRTRNCANWS
48,PWRTRNCANOT
49,PWRTRNCANMW
50,MINCOACAN
51,MINGASCAN
52,MINURNCAN
53,MINCOAINT
54,MINGASINT
55,MINURNINT
56,RNWHYDCANQC
57,RNWSPVCANQC
58,RNWWNDCANQC
59,RNWBIOCANQC
60,RNWHYDCANAT
61,RNWSPVCANAT
62,RNWWNDCANAT
63,RNWBIOCANAT
64,RNWHYDCANWS
65,RNWSPVCANWS
66,RNWWNDCANWS
67,RNWBIOCANWS
68,RNWHYDCANOT
69,RNWSPVCANOT
70,RNWWNDCANOT
71,RNWBIOCANOT
72,RNWHYDCANMW
73,RNWSPVCANMW
74,RNWWNDCANMW
75,RNWBIOCANMW
76,TRNCANATCANQC
77,TRNCANMWCANOT
78,TRNCANMWCANWS
79,TRNCANOTCANQC
0,PWRBIOCANQC01
1,PWRCCGCANQC01
2,PWRCTGCANQC01
3,PWRCOACANQC01
4,PWRCOCCANQC01
5,PWRHYDCANQC01
6,PWRSPVCANQC01
7,PWRURNCANQC01
8,PWRWNDCANQC01
9,PWRBIOCANAT01
10,PWRCCGCANAT01
11,PWRCTGCANAT01
12,PWRCOACANAT01
13,PWRCOCCANAT01
14,PWRHYDCANAT01
15,PWRSPVCANAT01
16,PWRURNCANAT01
17,PWRWNDCANAT01
18,PWRBIOCANWS01
19,PWRCCGCANWS01
20,PWRCTGCANWS01
21,PWRCOACANWS01
22,PWRCOCCANWS01
23,PWRHYDCANWS01
24,PWRSPVCANWS01
25,PWRURNCANWS01
26,PWRWNDCANWS01
27,PWRBIOCANOT01
28,PWRCCGCANOT01
29,PWRCTGCANOT01
30,PWRCOACANOT01
31,PWRCOCCANOT01
32,PWRHYDCANOT01
33,PWRSPVCANOT01
34,PWRURNCANOT01
35,PWRWNDCANOT01
36,PWRBIOCANMW01
37,PWRCCGCANMW01
38,PWRCTGCANMW01
39,PWRCOACANMW01
40,PWRCOCCANMW01
41,PWRHYDCANMW01
42,PWRSPVCANMW01
43,PWRURNCANMW01
44,PWRWNDCANMW01
45,PWRTRNCANQC
46,PWRTRNCANAT
47,PWRTRNCANWS
48,PWRTRNCANOT
49,PWRTRNCANMW
50,MINCOACAN
51,MINGASCAN
52,MINURNCAN
53,RNWHYDCANQC
54,RNWSPVCANQC
55,RNWWNDCANQC
56,RNWBIOCANQC
57,RNWHYDCANAT
58,RNWSPVCANAT
59,RNWWNDCANAT
60,RNWBIOCANAT
61,RNWHYDCANWS
62,RNWSPVCANWS
63,RNWWNDCANWS
64,RNWBIOCANWS
65,RNWHYDCANOT
66,RNWSPVCANOT
67,RNWWNDCANOT
68,RNWBIOCANOT
69,RNWHYDCANMW
70,RNWSPVCANMW
71,RNWWNDCANMW
72,RNWBIOCANMW
73,TRNUSAMAUSASE
74,TRNUSAMAUSAMW
75,TRNCANWSUSAMN
76,TRNUSACEUSATX
77,TRNCANATUSANE
78,TRNUSAFLUSASE
79,TRNUSAMWUSASE
80,TRNUSAALUSATX
81,TRNUSAALUSAMW
82,TRNUSACEUSAMW
83,TRNCANOTUSANY
84,TRNUSACEUSAMN
85,TRNUSACAUSASW
86,TRNUSAMAUSANY
87,TRNUSAMNUSANW
88,TRNCANMWUSAMW
89,TRNUSACAUSAMN
90,TRNCANQCUSANE
91,TRNCANOTUSAMW
92,TRNCANQCUSANY
93,TRNUSAALUSASE
94,TRNUSANEUSANY
95,TRNUSACAUSANW
96,TRNCANWSUSANW
97,TRNCANMWUSACE
98,TRNUSAALUSACE
99,TRNUSASWUSATX
100,TRNUSAMNUSASW
