REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRHYDUSASE01,2019,0.162
NAmerica,PWRHYDUSASE01,2020,0.162
NAmerica,PWRHYDUSASE01,2021,0.162
NAmerica,PWRHYDUSASE01,2022,0.162
NAmerica,PWRHYDUSASE01,2023,0.162
NAmerica,PWRHYDUSASE01,2024,0.162
NAmerica,PWRHYDUSASE01,2025,0.162
NAmerica,PWRHYDUSASE01,2026,0.162
NAmerica,PWRHYDUSASE01,2027,0.162
NAmerica,PWRHYDUSASE01,2028,0.162
NAmerica,PWRHYDUSASE01,2029,0.162
NAmerica,PWRHYDUSASE01,2030,0.162
NAmerica,PWRHYDUSASE01,2031,0.162
NAmerica,PWRHYDUSASE01,2032,0.162
NAmerica,PWRHYDUSASE01,2033,0.162
NAmerica,PWRHYDUSASE01,2034,0.162
NAmerica,PWRHYDUSASE01,2035,0.162
NAmerica,PWRHYDUSASE01,2036,0.162
NAmerica,PWRHYDUSASE01,2037,0.162
NAmerica,PWRHYDUSASE01,2038,0.162
NAmerica,PWRHYDUSASE01,2039,0.162
NAmerica,PWRHYDUSASE01,2040,0.162
NAmerica,PWRHYDUSASE01,2041,0.162
NAmerica,PWRHYDUSASE01,2042,0.162
NAmerica,PWRHYDUSASE01,2043,0.162
NAmerica,PWRHYDUSASE01,2044,0.162
NAmerica,PWRHYDUSASE01,2045,0.162
NAmerica,PWRHYDUSASE01,2046,0.162
NAmerica,PWRHYDUSASE01,2047,0.162
NAmerica,PWRHYDUSASE01,2048,0.162
NAmerica,PWRHYDUSASE01,2049,0.162
NAmerica,PWRHYDUSASE01,2050,0.162
NAmerica,PWRHYDUSAMA01,2019,0.152
NAmerica,PWRHYDUSAMA01,2020,0.152
NAmerica,PWRHYDUSAMA01,2021,0.152
NAmerica,PWRHYDUSAMA01,2022,0.152
NAmerica,PWRHYDUSAMA01,2023,0.152
NAmerica,PWRHYDUSAMA01,2024,0.152
NAmerica,PWRHYDUSAMA01,2025,0.152
NAmerica,PWRHYDUSAMA01,2026,0.152
NAmerica,PWRHYDUSAMA01,2027,0.152
NAmerica,PWRHYDUSAMA01,2028,0.152
NAmerica,PWRHYDUSAMA01,2029,0.152
NAmerica,PWRHYDUSAMA01,2030,0.152
NAmerica,PWRHYDUSAMA01,2031,0.152
NAmerica,PWRHYDUSAMA01,2032,0.152
NAmerica,PWRHYDUSAMA01,2033,0.152
NAmerica,PWRHYDUSAMA01,2034,0.152
NAmerica,PWRHYDUSAMA01,2035,0.152
NAmerica,PWRHYDUSAMA01,2036,0.152
NAmerica,PWRHYDUSAMA01,2037,0.152
NAmerica,PWRHYDUSAMA01,2038,0.152
NAmerica,PWRHYDUSAMA01,2039,0.152
NAmerica,PWRHYDUSAMA01,2040,0.152
NAmerica,PWRHYDUSAMA01,2041,0.152
NAmerica,PWRHYDUSAMA01,2042,0.152
NAmerica,PWRHYDUSAMA01,2043,0.152
NAmerica,PWRHYDUSAMA01,2044,0.152
NAmerica,PWRHYDUSAMA01,2045,0.152
NAmerica,PWRHYDUSAMA01,2046,0.152
NAmerica,PWRHYDUSAMA01,2047,0.152
NAmerica,PWRHYDUSAMA01,2048,0.152
NAmerica,PWRHYDUSAMA01,2049,0.152
NAmerica,PWRHYDUSAMA01,2050,0.152
NAmerica,PWRHYDUSASW01,2019,0.279
NAmerica,PWRHYDUSASW01,2020,0.279
NAmerica,PWRHYDUSASW01,2021,0.279
NAmerica,PWRHYDUSASW01,2022,0.279
NAmerica,PWRHYDUSASW01,2023,0.279
NAmerica,PWRHYDUSASW01,2024,0.279
NAmerica,PWRHYDUSASW01,2025,0.279
NAmerica,PWRHYDUSASW01,2026,0.279
NAmerica,PWRHYDUSASW01,2027,0.279
NAmerica,PWRHYDUSASW01,2028,0.279
NAmerica,PWRHYDUSASW01,2029,0.279
NAmerica,PWRHYDUSASW01,2030,0.279
NAmerica,PWRHYDUSASW01,2031,0.279
NAmerica,PWRHYDUSASW01,2032,0.279
NAmerica,PWRHYDUSASW01,2033,0.279
NAmerica,PWRHYDUSASW01,2034,0.279
NAmerica,PWRHYDUSASW01,2035,0.279
NAmerica,PWRHYDUSASW01,2036,0.279
NAmerica,PWRHYDUSASW01,2037,0.279
NAmerica,PWRHYDUSASW01,2038,0.279
NAmerica,PWRHYDUSASW01,2039,0.279
NAmerica,PWRHYDUSASW01,2040,0.279
NAmerica,PWRHYDUSASW01,2041,0.279
NAmerica,PWRHYDUSASW01,2042,0.279
NAmerica,PWRHYDUSASW01,2043,0.279
NAmerica,PWRHYDUSASW01,2044,0.279
NAmerica,PWRHYDUSASW01,2045,0.279
NAmerica,PWRHYDUSASW01,2046,0.279
NAmerica,PWRHYDUSASW01,2047,0.279
NAmerica,PWRHYDUSASW01,2048,0.279
NAmerica,PWRHYDUSASW01,2049,0.279
NAmerica,PWRHYDUSASW01,2050,0.279
NAmerica,PWRHYDUSANW01,2019,0.447
NAmerica,PWRHYDUSANW01,2020,0.447
NAmerica,PWRHYDUSANW01,2021,0.447
NAmerica,PWRHYDUSANW01,2022,0.447
NAmerica,PWRHYDUSANW01,2023,0.447
NAmerica,PWRHYDUSANW01,2024,0.447
NAmerica,PWRHYDUSANW01,2025,0.447
NAmerica,PWRHYDUSANW01,2026,0.447
NAmerica,PWRHYDUSANW01,2027,0.447
NAmerica,PWRHYDUSANW01,2028,0.447
NAmerica,PWRHYDUSANW01,2029,0.447
NAmerica,PWRHYDUSANW01,2030,0.447
NAmerica,PWRHYDUSANW01,2031,0.447
NAmerica,PWRHYDUSANW01,2032,0.447
NAmerica,PWRHYDUSANW01,2033,0.447
NAmerica,PWRHYDUSANW01,2034,0.447
NAmerica,PWRHYDUSANW01,2035,0.447
NAmerica,PWRHYDUSANW01,2036,0.447
NAmerica,PWRHYDUSANW01,2037,0.447
NAmerica,PWRHYDUSANW01,2038,0.447
NAmerica,PWRHYDUSANW01,2039,0.447
NAmerica,PWRHYDUSANW01,2040,0.447
NAmerica,PWRHYDUSANW01,2041,0.447
NAmerica,PWRHYDUSANW01,2042,0.447
NAmerica,PWRHYDUSANW01,2043,0.447
NAmerica,PWRHYDUSANW01,2044,0.447
NAmerica,PWRHYDUSANW01,2045,0.447
NAmerica,PWRHYDUSANW01,2046,0.447
NAmerica,PWRHYDUSANW01,2047,0.447
NAmerica,PWRHYDUSANW01,2048,0.447
NAmerica,PWRHYDUSANW01,2049,0.447
NAmerica,PWRHYDUSANW01,2050,0.447
NAmerica,PWRHYDUSACA01,2019,0.26
NAmerica,PWRHYDUSACA01,2020,0.26
NAmerica,PWRHYDUSACA01,2021,0.26
NAmerica,PWRHYDUSACA01,2022,0.26
NAmerica,PWRHYDUSACA01,2023,0.26
NAmerica,PWRHYDUSACA01,2024,0.26
NAmerica,PWRHYDUSACA01,2025,0.26
NAmerica,PWRHYDUSACA01,2026,0.26
NAmerica,PWRHYDUSACA01,2027,0.26
NAmerica,PWRHYDUSACA01,2028,0.26
NAmerica,PWRHYDUSACA01,2029,0.26
NAmerica,PWRHYDUSACA01,2030,0.26
NAmerica,PWRHYDUSACA01,2031,0.26
NAmerica,PWRHYDUSACA01,2032,0.26
NAmerica,PWRHYDUSACA01,2033,0.26
NAmerica,PWRHYDUSACA01,2034,0.26
NAmerica,PWRHYDUSACA01,2035,0.26
NAmerica,PWRHYDUSACA01,2036,0.26
NAmerica,PWRHYDUSACA01,2037,0.26
NAmerica,PWRHYDUSACA01,2038,0.26
NAmerica,PWRHYDUSACA01,2039,0.26
NAmerica,PWRHYDUSACA01,2040,0.26
NAmerica,PWRHYDUSACA01,2041,0.26
NAmerica,PWRHYDUSACA01,2042,0.26
NAmerica,PWRHYDUSACA01,2043,0.26
NAmerica,PWRHYDUSACA01,2044,0.26
NAmerica,PWRHYDUSACA01,2045,0.26
NAmerica,PWRHYDUSACA01,2046,0.26
NAmerica,PWRHYDUSACA01,2047,0.26
NAmerica,PWRHYDUSACA01,2048,0.26
NAmerica,PWRHYDUSACA01,2049,0.26
NAmerica,PWRHYDUSACA01,2050,0.26
NAmerica,PWRHYDUSANE01,2019,0.21
NAmerica,PWRHYDUSANE01,2020,0.21
NAmerica,PWRHYDUSANE01,2021,0.21
