REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRBIOUSAAL01,2019,109.843
NAmerica,PWRBIOUSAAL01,2020,109.843
NAmerica,PWRBIOUSAAL01,2021,109.843
NAmerica,PWRBIOUSAAL01,2022,109.843
NAmerica,PWRBIOUSAAL01,2023,109.843
NAmerica,PWRBIOUSAAL01,2024,109.843
NAmerica,PWRBIOUSAAL01,2025,109.843
NAmerica,PWRBIOUSAAL01,2026,109.843
NAmerica,PWRBIOUSAAL01,2027,109.843
NAmerica,PWRBIOUSAAL01,2028,109.843
NAmerica,PWRBIOUSAAL01,2029,109.843
NAmerica,PWRBIOUSAAL01,2030,109.843
NAmerica,PWRBIOUSAAL01,2031,109.843
NAmerica,PWRBIOUSAAL01,2032,109.843
NAmerica,PWRBIOUSAAL01,2033,109.843
NAmerica,PWRBIOUSAAL01,2034,109.843
NAmerica,PWRBIOUSAAL01,2035,109.843
NAmerica,PWRBIOUSAAL01,2036,109.843
NAmerica,PWRBIOUSAAL01,2037,109.843
NAmerica,PWRBIOUSAAL01,2038,109.843
NAmerica,PWRBIOUSAAL01,2039,109.843
NAmerica,PWRBIOUSAAL01,2040,109.843
NAmerica,PWRBIOUSAAL01,2041,109.843
NAmerica,PWRBIOUSAAL01,2042,109.843
NAmerica,PWRBIOUSAAL01,2043,109.843
NAmerica,PWRBIOUSAAL01,2044,109.843
NAmerica,PWRBIOUSAAL01,2045,109.843
NAmerica,PWRBIOUSAAL01,2046,109.843
NAmerica,PWRBIOUSAAL01,2047,109.843
NAmerica,PWRBIOUSAAL01,2048,109.843
NAmerica,PWRBIOUSAAL01,2049,109.843
NAmerica,PWRBIOUSAAL01,2050,109.843
NAmerica,PWRBIOUSACA01,2019,109.843
NAmerica,PWRBIOUSACA01,2020,109.843
NAmerica,PWRBIOUSACA01,2021,109.843
NAmerica,PWRBIOUSACA01,2022,109.843
NAmerica,PWRBIOUSACA01,2023,109.843
NAmerica,PWRBIOUSACA01,2024,109.843
NAmerica,PWRBIOUSACA01,2025,109.843
NAmerica,PWRBIOUSACA01,2026,109.843
NAmerica,PWRBIOUSACA01,2027,109.843
NAmerica,PWRBIOUSACA01,2028,109.843
NAmerica,PWRBIOUSACA01,2029,109.843
NAmerica,PWRBIOUSACA01,2030,109.843
NAmerica,PWRBIOUSACA01,2031,109.843
NAmerica,PWRBIOUSACA01,2032,109.843
NAmerica,PWRBIOUSACA01,2033,109.843
NAmerica,PWRBIOUSACA01,2034,109.843
NAmerica,PWRBIOUSACA01,2035,109.843
NAmerica,PWRBIOUSACA01,2036,109.843
NAmerica,PWRBIOUSACA01,2037,109.843
NAmerica,PWRBIOUSACA01,2038,109.843
NAmerica,PWRBIOUSACA01,2039,109.843
NAmerica,PWRBIOUSACA01,2040,109.843
NAmerica,PWRBIOUSACA01,2041,109.843
NAmerica,PWRBIOUSACA01,2042,109.843
NAmerica,PWRBIOUSACA01,2043,109.843
NAmerica,PWRBIOUSACA01,2044,109.843
NAmerica,PWRBIOUSACA01,2045,109.843
NAmerica,PWRBIOUSACA01,2046,109.843
NAmerica,PWRBIOUSACA01,2047,109.843
NAmerica,PWRBIOUSACA01,2048,109.843
NAmerica,PWRBIOUSACA01,2049,109.843
NAmerica,PWRBIOUSACA01,2050,109.843
NAmerica,PWRBIOUSACE01,2019,109.843
NAmerica,PWRBIOUSACE01,2020,109.843
NAmerica,PWRBIOUSACE01,2021,109.843
NAmerica,PWRBIOUSACE01,2022,109.843
NAmerica,PWRBIOUSACE01,2023,109.843
NAmerica,PWRBIOUSACE01,2024,109.843
NAmerica,PWRBIOUSACE01,2025,109.843
NAmerica,PWRBIOUSACE01,2026,109.843
NAmerica,PWRBIOUSACE01,2027,109.843
NAmerica,PWRBIOUSACE01,2028,109.843
NAmerica,PWRBIOUSACE01,2029,109.843
NAmerica,PWRBIOUSACE01,2030,109.843
NAmerica,PWRBIOUSACE01,2031,109.843
NAmerica,PWRBIOUSACE01,2032,109.843
NAmerica,PWRBIOUSACE01,2033,109.843
NAmerica,PWRBIOUSACE01,2034,109.843
NAmerica,PWRBIOUSACE01,2035,109.843
NAmerica,PWRBIOUSACE01,2036,109.843
NAmerica,PWRBIOUSACE01,2037,109.843
NAmerica,PWRBIOUSACE01,2038,109.843
NAmerica,PWRBIOUSACE01,2039,109.843
NAmerica,PWRBIOUSACE01,2040,109.843
NAmerica,PWRBIOUSACE01,2041,109.843
NAmerica,PWRBIOUSACE01,2042,109.843
NAmerica,PWRBIOUSACE01,2043,109.843
NAmerica,PWRBIOUSACE01,2044,109.843
NAmerica,PWRBIOUSACE01,2045,109.843
NAmerica,PWRBIOUSACE01,2046,109.843
NAmerica,PWRBIOUSACE01,2047,109.843
NAmerica,PWRBIOUSACE01,2048,109.843
NAmerica,PWRBIOUSACE01,2049,109.843
NAmerica,PWRBIOUSACE01,2050,109.843
NAmerica,PWRBIOUSASE01,2019,109.843
NAmerica,PWRBIOUSASE01,2020,109.843
NAmerica,PWRBIOUSASE01,2021,109.843
NAmerica,PWRBIOUSASE01,2022,109.843
NAmerica,PWRBIOUSASE01,2023,109.843
NAmerica,PWRBIOUSASE01,2024,109.843
NAmerica,PWRBIOUSASE01,2025,109.843
NAmerica,PWRBIOUSASE01,2026,109.843
NAmerica,PWRBIOUSASE01,2027,109.843
NAmerica,PWRBIOUSASE01,2028,109.843
NAmerica,PWRBIOUSASE01,2029,109.843
NAmerica,PWRBIOUSASE01,2030,109.843
NAmerica,PWRBIOUSASE01,2031,109.843
NAmerica,PWRBIOUSASE01,2032,109.843
NAmerica,PWRBIOUSASE01,2033,109.843
NAmerica,PWRBIOUSASE01,2034,109.843
NAmerica,PWRBIOUSASE01,2035,109.843
NAmerica,PWRBIOUSASE01,2036,109.843
NAmerica,PWRBIOUSASE01,2037,109.843
NAmerica,PWRBIOUSASE01,2038,109.843
NAmerica,PWRBIOUSASE01,2039,109.843
NAmerica,PWRBIOUSASE01,2040,109.843
NAmerica,PWRBIOUSASE01,2041,109.843
NAmerica,PWRBIOUSASE01,2042,109.843
NAmerica,PWRBIOUSASE01,2043,109.843
NAmerica,PWRBIOUSASE01,2044,109.843
NAmerica,PWRBIOUSASE01,2045,109.843
NAmerica,PWRBIOUSASE01,2046,109.843
NAmerica,PWRBIOUSASE01,2047,109.843
NAmerica,PWRBIOUSASE01,2048,109.843
NAmerica,PWRBIOUSASE01,2049,109.843
NAmerica,PWRBIOUSASE01,2050,109.843
NAmerica,PWRBIOUSASW01,2019,109.843
NAmerica,PWRBIOUSASW01,2020,109.843
NAmerica,PWRBIOUSASW01,2021,109.843
NAmerica,PWRBIOUSASW01,2022,109.843
NAmerica,PWRBIOUSASW01,2023,109.843
NAmerica,PWRBIOUSASW01,2024,109.843
NAmerica,PWRBIOUSASW01,2025,109.843
NAmerica,PWRBIOUSASW01,2026,109.843
NAmerica,PWRBIOUSASW01,2027,109.843
NAmerica,PWRBIOUSASW01,2028,109.843
NAmerica,PWRBIOUSASW01,2029,109.843
NAmerica,PWRBIOUSASW01,2030,109.843
NAmerica,PWRBIOUSASW01,2031,109.843
NAmerica,PWRBIOUSASW01,2032,109.843
NAmerica,PWRBIOUSASW01,2033,109.843
NAmerica,PWRBIOUSASW01,2034,109.843
NAmerica,PWRBIOUSASW01,2035,109.843
NAmerica,PWRBIOUSASW01,2036,109.843
NAmerica,PWRBIOUSASW01,2037,109.843
NAmerica,PWRBIOUSASW01,2038,109.843
NAmerica,PWRBIOUSASW01,2039,109.843
NAmerica,PWRBIOUSASW01,2040,109.843
NAmerica,PWRBIOUSASW01,2041,109.843
NAmerica,PWRBIOUSASW01,2042,109.843
NAmerica,PWRBIOUSASW01,2043,109.843
NAmerica,PWRBIOUSASW01,2044,109.843
NAmerica,PWRBIOUSASW01,2045,109.843
NAmerica,PWRBIOUSASW01,2046,109.843
NAmerica,PWRBIOUSASW01,2047,109.843
NAmerica,PWRBIOUSASW01,2048,109.843
NAmerica,PWRBIOUSASW01,2049,109.843
NAmerica,PWRBIOUSASW01,2050,109.843
NAmerica,PWRBIOUSAMN01,2019,109.843
NAmerica,PWRBIOUSAMN01,2020,109.843
NAmerica,PWRBIOUSAMN01,2021,109.843
NAmerica,PWRBIOUSAMN01,2022,109.843
NAmerica,PWRBIOUSAMN01,2023,109.843
NAmerica,PWRBIOUSAMN01,2024,109.843
NAmerica,PWRBIOUSAMN01,2025,109.843
NAmerica,PWRBIOUSAMN01,2026,109.843
NAmerica,PWRBIOUSAMN01,2027,109.843
NAmerica,PWRBIOUSAMN01,2028,109.843
NAmerica,PWRBIOUSAMN01,2029,109.843
NAmerica,PWRBIOUSAMN01,2030,109.843
NAmerica,PWRBIOUSAMN01,2031,109.843
NAmerica,PWRBIOUSAMN01,2032,109.843
NAmerica,PWRBIOUSAMN01,2033,109.843
NAmerica,PWRBIOUSAMN01,2034,109.843
NAmerica,PWRBIOUSAMN01,2035,109.843
NAmerica,PWRBIOUSAMN01,2036,109.843
NAmerica,PWRBIOUSAMN01,2037,109.843
NAmerica,PWRBIOUSAMN01,2038,109.843
NAmerica,PWRBIOUSAMN01,2039,109.843
NAmerica,PWRBIOUSAMN01,2040,109.843
NAmerica,PWRBIOUSAMN01,2041,109.843
NAmerica,PWRBIOUSAMN01,2042,109.843
NAmerica,PWRBIOUSAMN01,2043,109.843
NAmerica,PWRBIOUSAMN01,2044,109.843
NAmerica,PWRBIOUSAMN01,2045,109.843
NAmerica,PWRBIOUSAMN01,2046,109.843
NAmerica,PWRBIOUSAMN01,2047,109.843
NAmerica,PWRBIOUSAMN01,2048,109.843
NAmerica,PWRBIOUSAMN01,2049,109.843
NAmerica,PWRBIOUSAMN01,2050,109.843
NAmerica,PWRBIOUSANE01,2019,109.843
NAmerica,PWRBIOUSANE01,2020,109.843
NAmerica,PWRBIOUSANE01,2021,109.843
NAmerica,PWRBIOUSANE01,2022,109.843
NAmerica,PWRBIOUSANE01,2023,109.843
NAmerica,PWRBIOUSANE01,2024,109.843
NAmerica,PWRBIOUSANE01,2025,109.843
NAmerica,PWRBIOUSANE01,2026,109.843
NAmerica,PWRBIOUSANE01,2027,109.843
NAmerica,PWRBIOUSANE01,2028,109.843
NAmerica,PWRBIOUSANE01,2029,109.843
NAmerica,PWRBIOUSANE01,2030,109.843
NAmerica,PWRBIOUSANE01,2031,109.843
NAmerica,PWRBIOUSANE01,2032,109.843
NAmerica,PWRBIOUSANE01,2033,109.843
NAmerica,PWRBIOUSANE01,2034,109.843
NAmerica,PWRBIOUSANE01,2035,109.843
NAmerica,PWRBIOUSANE01,2036,109.843
NAmerica,PWRBIOUSANE01,2037,109.843
NAmerica,PWRBIOUSANE01,2038,109.843
NAmerica,PWRBIOUSANE01,2039,109.843
NAmerica,PWRBIOUSANE01,2040,109.843
NAmerica,PWRBIOUSANE01,2041,109.843
NAmerica,PWRBIOUSANE01,2042,109.843
NAmerica,PWRBIOUSANE01,2043,109.843
NAmerica,PWRBIOUSANE01,2044,109.843
NAmerica,PWRBIOUSANE01,2045,109.843
NAmerica,PWRBIOUSANE01,2046,109.843
NAmerica,PWRBIOUSANE01,2047,109.843
NAmerica,PWRBIOUSANE01,2048,109.843
NAmerica,PWRBIOUSANE01,2049,109.843
NAmerica,PWRBIOUSANE01,2050,109.843
NAmerica,PWRBIOUSAMA01,2019,109.843
NAmerica,PWRBIOUSAMA01,2020,109.843
NAmerica,PWRBIOUSAMA01,2021,109.843
NAmerica,PWRBIOUSAMA01,2022,109.843
NAmerica,PWRBIOUSAMA01,2023,109.843
NAmerica,PWRBIOUSAMA01,2024,109.843
NAmerica,PWRBIOUSAMA01,2025,109.843
NAmerica,PWRBIOUSAMA01,2026,109.843
NAmerica,PWRBIOUSAMA01,2027,109.843
NAmerica,PWRBIOUSAMA01,2028,109.843
NAmerica,PWRBIOUSAMA01,2029,109.843
NAmerica,PWRBIOUSAMA01,2030,109.843
NAmerica,PWRBIOUSAMA01,2031,109.843
NAmerica,PWRBIOUSAMA01,2032,109.843
NAmerica,PWRBIOUSAMA01,2033,109.843
NAmerica,PWRBIOUSAMA01,2034,109.843
NAmerica,PWRBIOUSAMA01,2035,109.843
NAmerica,PWRBIOUSAMA01,2036,109.843
NAmerica,PWRBIOUSAMA01,2037,109.843
NAmerica,PWRBIOUSAMA01,2038,109.843
NAmerica,PWRBIOUSAMA01,2039,109.843
NAmerica,PWRBIOUSAMA01,2040,109.843
NAmerica,PWRBIOUSAMA01,2041,109.843
NAmerica,PWRBIOUSAMA01,2042,109.843
NAmerica,PWRBIOUSAMA01,2043,109.843
NAmerica,PWRBIOUSAMA01,2044,109.843
NAmerica,PWRBIOUSAMA01,2045,109.843
NAmerica,PWRBIOUSAMA01,2046,109.843
NAmerica,PWRBIOUSAMA01,2047,109.843
NAmerica,PWRBIOUSAMA01,2048,109.843
NAmerica,PWRBIOUSAMA01,2049,109.843
NAmerica,PWRBIOUSAMA01,2050,109.843
NAmerica,PWRBIOUSAFL01,2019,109.843
NAmerica,PWRBIOUSAFL01,2020,109.843
NAmerica,PWRBIOUSAFL01,2021,109.843
