REGION,FUEL,YEAR,VALUE
NAmerica,ELCUSAMN01,2019,1.15
NAmerica,ELCUSAMN01,2020,1.15
NAmerica,ELCUSAMN01,2021,1.15
NAmerica,ELCUSAMN01,2022,1.15
NAmerica,ELCUSAMN01,2023,1.15
NAmerica,ELCUSAMN01,2024,1.15
NAmerica,ELCUSAMN01,2025,1.15
NAmerica,ELCUSAMN01,2026,1.15
NAmerica,ELCUSAMN01,2027,1.15
NAmerica,ELCUSAMN01,2028,1.15
NAmerica,ELCUSAMN01,2029,1.15
NAmerica,ELCUSAMN01,2030,1.15
NAmerica,ELCUSAMN01,2031,1.15
NAmerica,ELCUSAMN01,2032,1.15
NAmerica,ELCUSAMN01,2033,1.15
NAmerica,ELCUSAMN01,2034,1.15
NAmerica,ELCUSAMN01,2035,1.15
NAmerica,ELCUSAMN01,2036,1.15
NAmerica,ELCUSAMN01,2037,1.15
NAmerica,ELCUSAMN01,2038,1.15
NAmerica,ELCUSAMN01,2039,1.15
NAmerica,ELCUSAMN01,2040,1.15
NAmerica,ELCUSAMN01,2041,1.15
NAmerica,ELCUSAMN01,2042,1.15
NAmerica,ELCUSAMN01,2043,1.15
NAmerica,ELCUSAMN01,2044,1.15
NAmerica,ELCUSAMN01,2045,1.15
NAmerica,ELCUSAMN01,2046,1.15
NAmerica,ELCUSAMN01,2047,1.15
NAmerica,ELCUSAMN01,2048,1.15
NAmerica,ELCUSAMN01,2049,1.15
NAmerica,ELCUSAMN01,2050,1.15
NAmerica,ELCUSAMW01,2019,1.15
NAmerica,ELCUSAMW01,2020,1.15
NAmerica,ELCUSAMW01,2021,1.15
NAmerica,ELCUSAMW01,2022,1.15
NAmerica,ELCUSAMW01,2023,1.15
NAmerica,ELCUSAMW01,2024,1.15
NAmerica,ELCUSAMW01,2025,1.15
NAmerica,ELCUSAMW01,2026,1.15
NAmerica,ELCUSAMW01,2027,1.15
NAmerica,ELCUSAMW01,2028,1.15
NAmerica,ELCUSAMW01,2029,1.15
NAmerica,ELCUSAMW01,2030,1.15
NAmerica,ELCUSAMW01,2031,1.15
NAmerica,ELCUSAMW01,2032,1.15
NAmerica,ELCUSAMW01,2033,1.15
NAmerica,ELCUSAMW01,2034,1.15
NAmerica,ELCUSAMW01,2035,1.15
NAmerica,ELCUSAMW01,2036,1.15
NAmerica,ELCUSAMW01,2037,1.15
NAmerica,ELCUSAMW01,2038,1.15
NAmerica,ELCUSAMW01,2039,1.15
NAmerica,ELCUSAMW01,2040,1.15
NAmerica,ELCUSAMW01,2041,1.15
NAmerica,ELCUSAMW01,2042,1.15
NAmerica,ELCUSAMW01,2043,1.15
NAmerica,ELCUSAMW01,2044,1.15
NAmerica,ELCUSAMW01,2045,1.15
NAmerica,ELCUSAMW01,2046,1.15
NAmerica,ELCUSAMW01,2047,1.15
NAmerica,ELCUSAMW01,2048,1.15
NAmerica,ELCUSAMW01,2049,1.15
NAmerica,ELCUSAMW01,2050,1.15
NAmerica,ELCUSASE01,2019,1.15
NAmerica,ELCUSASE01,2020,1.15
NAmerica,ELCUSASE01,2021,1.15
NAmerica,ELCUSASE01,2022,1.15
NAmerica,ELCUSASE01,2023,1.15
NAmerica,ELCUSASE01,2024,1.15
NAmerica,ELCUSASE01,2025,1.15
NAmerica,ELCUSASE01,2026,1.15
NAmerica,ELCUSASE01,2027,1.15
NAmerica,ELCUSASE01,2028,1.15
NAmerica,ELCUSASE01,2029,1.15
NAmerica,ELCUSASE01,2030,1.15
NAmerica,ELCUSASE01,2031,1.15
NAmerica,ELCUSASE01,2032,1.15
NAmerica,ELCUSASE01,2033,1.15
NAmerica,ELCUSASE01,2034,1.15
NAmerica,ELCUSASE01,2035,1.15
NAmerica,ELCUSASE01,2036,1.15
NAmerica,ELCUSASE01,2037,1.15
NAmerica,ELCUSASE01,2038,1.15
NAmerica,ELCUSASE01,2039,1.15
NAmerica,ELCUSASE01,2040,1.15
NAmerica,ELCUSASE01,2041,1.15
NAmerica,ELCUSASE01,2042,1.15
NAmerica,ELCUSASE01,2043,1.15
NAmerica,ELCUSASE01,2044,1.15
NAmerica,ELCUSASE01,2045,1.15
NAmerica,ELCUSASE01,2046,1.15
NAmerica,ELCUSASE01,2047,1.15
NAmerica,ELCUSASE01,2048,1.15
NAmerica,ELCUSASE01,2049,1.15
NAmerica,ELCUSASE01,2050,1.15
NAmerica,ELCUSAMA01,2019,1.15
NAmerica,ELCUSAMA01,2020,1.15
NAmerica,ELCUSAMA01,2021,1.15
NAmerica,ELCUSAMA01,2022,1.15
NAmerica,ELCUSAMA01,2023,1.15
NAmerica,ELCUSAMA01,2024,1.15
NAmerica,ELCUSAMA01,2025,1.15
NAmerica,ELCUSAMA01,2026,1.15
NAmerica,ELCUSAMA01,2027,1.15
NAmerica,ELCUSAMA01,2028,1.15
NAmerica,ELCUSAMA01,2029,1.15
NAmerica,ELCUSAMA01,2030,1.15
NAmerica,ELCUSAMA01,2031,1.15
NAmerica,ELCUSAMA01,2032,1.15
NAmerica,ELCUSAMA01,2033,1.15
NAmerica,ELCUSAMA01,2034,1.15
NAmerica,ELCUSAMA01,2035,1.15
NAmerica,ELCUSAMA01,2036,1.15
NAmerica,ELCUSAMA01,2037,1.15
NAmerica,ELCUSAMA01,2038,1.15
NAmerica,ELCUSAMA01,2039,1.15
NAmerica,ELCUSAMA01,2040,1.15
NAmerica,ELCUSAMA01,2041,1.15
NAmerica,ELCUSAMA01,2042,1.15
NAmerica,ELCUSAMA01,2043,1.15
NAmerica,ELCUSAMA01,2044,1.15
NAmerica,ELCUSAMA01,2045,1.15
NAmerica,ELCUSAMA01,2046,1.15
NAmerica,ELCUSAMA01,2047,1.15
NAmerica,ELCUSAMA01,2048,1.15
NAmerica,ELCUSAMA01,2049,1.15
NAmerica,ELCUSAMA01,2050,1.15
NAmerica,ELCUSACE01,2019,1.15
NAmerica,ELCUSACE01,2020,1.15
NAmerica,ELCUSACE01,2021,1.15
NAmerica,ELCUSACE01,2022,1.15
NAmerica,ELCUSACE01,2023,1.15
NAmerica,ELCUSACE01,2024,1.15
NAmerica,ELCUSACE01,2025,1.15
NAmerica,ELCUSACE01,2026,1.15
NAmerica,ELCUSACE01,2027,1.15
NAmerica,ELCUSACE01,2028,1.15
NAmerica,ELCUSACE01,2029,1.15
NAmerica,ELCUSACE01,2030,1.15
NAmerica,ELCUSACE01,2031,1.15
NAmerica,ELCUSACE01,2032,1.15
NAmerica,ELCUSACE01,2033,1.15
NAmerica,ELCUSACE01,2034,1.15
NAmerica,ELCUSACE01,2035,1.15
NAmerica,ELCUSACE01,2036,1.15
NAmerica,ELCUSACE01,2037,1.15
NAmerica,ELCUSACE01,2038,1.15
NAmerica,ELCUSACE01,2039,1.15
NAmerica,ELCUSACE01,2040,1.15
NAmerica,ELCUSACE01,2041,1.15
NAmerica,ELCUSACE01,2042,1.15
NAmerica,ELCUSACE01,2043,1.15
NAmerica,ELCUSACE01,2044,1.15
NAmerica,ELCUSACE01,2045,1.15
NAmerica,ELCUSACE01,2046,1.15
NAmerica,ELCUSACE01,2047,1.15
NAmerica,ELCUSACE01,2048,1.15
NAmerica,ELCUSACE01,2049,1.15
NAmerica,ELCUSACE01,2050,1.15
NAmerica,ELCUSAFL01,2019,1.15
NAmerica,ELCUSAFL01,2020,1.15
NAmerica,ELCUSAFL01,2021,1.15
NAmerica,ELCUSAFL01,2022,1.15
NAmerica,ELCUSAFL01,2023,1.15
NAmerica,ELCUSAFL01,2024,1.15
NAmerica,ELCUSAFL01,2025,1.15
NAmerica,ELCUSAFL01,2026,1.15
NAmerica,ELCUSAFL01,2027,1.15
NAmerica,ELCUSAFL01,2028,1.15
NAmerica,ELCUSAFL01,2029,1.15
NAmerica,ELCUSAFL01,2030,1.15
NAmerica,ELCUSAFL01,2031,1.15
NAmerica,ELCUSAFL01,2032,1.15
NAmerica,ELCUSAFL01,2033,1.15
NAmerica,ELCUSAFL01,2034,1.15
NAmerica,ELCUSAFL01,2035,1.15
NAmerica,ELCUSAFL01,2036,1.15
NAmerica,ELCUSAFL01,2037,1.15
NAmerica,ELCUSAFL01,2038,1.15
NAmerica,ELCUSAFL01,2039,1.15
NAmerica,ELCUSAFL01,2040,1.15
NAmerica,ELCUSAFL01,2041,1.15
NAmerica,ELCUSAFL01,2042,1.15
NAmerica,ELCUSAFL01,2043,1.15
NAmerica,ELCUSAFL01,2044,1.15
NAmerica,ELCUSAFL01,2045,1.15
NAmerica,ELCUSAFL01,2046,1.15
NAmerica,ELCUSAFL01,2047,1.15
NAmerica,ELCUSAFL01,2048,1.15
NAmerica,ELCUSAFL01,2049,1.15
NAmerica,ELCUSAFL01,2050,1.15
NAmerica,ELCUSASW01,2019,1.15
NAmerica,ELCUSASW01,2020,1.15
NAmerica,ELCUSASW01,2021,1.15
NAmerica,ELCUSASW01,2022,1.15
NAmerica,ELCUSASW01,2023,1.15
NAmerica,ELCUSASW01,2024,1.15
NAmerica,ELCUSASW01,2025,1.15
NAmerica,ELCUSASW01,2026,1.15
NAmerica,ELCUSASW01,2027,1.15
NAmerica,ELCUSASW01,2028,1.15
NAmerica,ELCUSASW01,2029,1.15
NAmerica,ELCUSASW01,2030,1.15
NAmerica,ELCUSASW01,2031,1.15
NAmerica,ELCUSASW01,2032,1.15
NAmerica,ELCUSASW01,2033,1.15
NAmerica,ELCUSASW01,2034,1.15
NAmerica,ELCUSASW01,2035,1.15
NAmerica,ELCUSASW01,2036,1.15
NAmerica,ELCUSASW01,2037,1.15
NAmerica,ELCUSASW01,2038,1.15
NAmerica,ELCUSASW01,2039,1.15
NAmerica,ELCUSASW01,2040,1.15
NAmerica,ELCUSASW01,2041,1.15
NAmerica,ELCUSASW01,2042,1.15
NAmerica,ELCUSASW01,2043,1.15
NAmerica,ELCUSASW01,2044,1.15
NAmerica,ELCUSASW01,2045,1.15
NAmerica,ELCUSASW01,2046,1.15
NAmerica,ELCUSASW01,2047,1.15
NAmerica,ELCUSASW01,2048,1.15
NAmerica,ELCUSASW01,2049,1.15
NAmerica,ELCUSASW01,2050,1.15
NAmerica,ELCUSANY01,2019,1.15
NAmerica,ELCUSANY01,2020,1.15
NAmerica,ELCUSANY01,2021,1.15
NAmerica,ELCUSANY01,2022,1.15
NAmerica,ELCUSANY01,2023,1.15
NAmerica,ELCUSANY01,2024,1.15
NAmerica,ELCUSANY01,2025,1.15
NAmerica,ELCUSANY01,2026,1.15
NAmerica,ELCUSANY01,2027,1.15
NAmerica,ELCUSANY01,2028,1.15
NAmerica,ELCUSANY01,2029,1.15
NAmerica,ELCUSANY01,2030,1.15
NAmerica,ELCUSANY01,2031,1.15
NAmerica,ELCUSANY01,2032,1.15
NAmerica,ELCUSANY01,2033,1.15
NAmerica,ELCUSANY01,2034,1.15
NAmerica,ELCUSANY01,2035,1.15
NAmerica,ELCUSANY01,2036,1.15
NAmerica,ELCUSANY01,2037,1.15
NAmerica,ELCUSANY01,2038,1.15
NAmerica,ELCUSANY01,2039,1.15
NAmerica,ELCUSANY01,2040,1.15
NAmerica,ELCUSANY01,2041,1.15
NAmerica,ELCUSANY01,2042,1.15
NAmerica,ELCUSANY01,2043,1.15
NAmerica,ELCUSANY01,2044,1.15
NAmerica,ELCUSANY01,2045,1.15
NAmerica,ELCUSANY01,2046,1.15
NAmerica,ELCUSANY01,2047,1.15
NAmerica,ELCUSANY01,2048,1.15
NAmerica,ELCUSANY01,2049,1.15
NAmerica,ELCUSANY01,2050,1.15
NAmerica,ELCUSANE01,2019,1.15
NAmerica,ELCUSANE01,2020,1.15
NAmerica,ELCUSANE01,2021,1.15
NAmerica,ELCUSANE01,2022,1.15
NAmerica,ELCUSANE01,2023,1.15
NAmerica,ELCUSANE01,2024,1.15
NAmerica,ELCUSANE01,2025,1.15
NAmerica,ELCUSANE01,2026,1.15
NAmerica,ELCUSANE01,2027,1.15
NAmerica,ELCUSANE01,2028,1.15
NAmerica,ELCUSANE01,2029,1.15
NAmerica,ELCUSANE01,2030,1.15
NAmerica,ELCUSANE01,2031,1.15
