REGION,FUEL,YEAR,VALUE
NAmerica,ELCUSANW02,2019.0,509.246
NAmerica,ELCUSANW02,2020.0,538.273
NAmerica,ELCUSANW02,2021.0,568.954
NAmerica,ELCUSANW02,2022.0,601.385
NAmerica,ELCUSANW02,2023.0,635.664
NAmerica,ELCUSANW02,2024.0,671.897
NAmerica,ELCUSANW02,2025.0,710.195
NAmerica,ELCUSANW02,2026.0,750.676
NAmerica,ELCUSANW02,2027.0,793.464
NAmerica,ELCUSANW02,2028.0,838.692
NAmerica,ELCUSANW02,2029.0,886.497
NAmerica,ELCUSANW02,2030.0,937.028
NAmerica,ELCUSANW02,2031.0,990.438
NAmerica,ELCUSANW02,2032.0,1046.893
NAmerica,ELCUSANW02,2033.0,1106.566
NAmerica,ELCUSANW02,2034.0,1169.64
NAmerica,ELCUSANW02,2035.0,1236.31
NAmerica,ELCUSANW02,2036.0,1306.779
NAmerica,ELCUSANW02,2037.0,1381.266
NAmerica,ELCUSANW02,2038.0,1459.998
NAmerica,ELCUSANW02,2039.0,1543.218
NAmerica,ELCUSANW02,2040.0,1631.181
NAmerica,ELCUSANW02,2041.0,1724.159
NAmerica,ELCUSANW02,2042.0,1822.436
NAmerica,ELCUSANW02,2043.0,1926.315
NAmerica,ELCUSANW02,2044.0,2036.114
NAmerica,ELCUSANW02,2045.0,2152.173
NAmerica,ELCUSANW02,2046.0,2274.847
NAmerica,ELCUSANW02,2047.0,2404.513
NAmerica,ELCUSANW02,2048.0,2541.57
NAmerica,ELCUSANW02,2049.0,2686.44
NAmerica,ELCUSANW02,2050.0,2839.567
NAmerica,ELCUSACA02,2019.0,901.363
NAmerica,ELCUSACA02,2020.0,952.741
NAmerica,ELCUSACA02,2021.0,1007.047
NAmerica,ELCUSACA02,2022.0,1064.449
NAmerica,ELCUSACA02,2023.0,1125.123
NAmerica,ELCUSACA02,2024.0,1189.255
NAmerica,ELCUSACA02,2025.0,1257.042
NAmerica,ELCUSACA02,2026.0,1328.693
NAmerica,ELCUSACA02,2027.0,1404.429
NAmerica,ELCUSACA02,2028.0,1484.481
NAmerica,ELCUSACA02,2029.0,1569.097
NAmerica,ELCUSACA02,2030.0,1658.535
NAmerica,ELCUSACA02,2031.0,1753.072
NAmerica,ELCUSACA02,2032.0,1852.997
NAmerica,ELCUSACA02,2033.0,1958.618
NAmerica,ELCUSACA02,2034.0,2070.259
NAmerica,ELCUSACA02,2035.0,2188.264
NAmerica,ELCUSACA02,2036.0,2312.995
NAmerica,ELCUSACA02,2037.0,2444.836
NAmerica,ELCUSACA02,2038.0,2584.191
NAmerica,ELCUSACA02,2039.0,2731.49
NAmerica,ELCUSACA02,2040.0,2887.185
NAmerica,ELCUSACA02,2041.0,3051.755
NAmerica,ELCUSACA02,2042.0,3225.705
NAmerica,ELCUSACA02,2043.0,3409.57
NAmerica,ELCUSACA02,2044.0,3603.915
NAmerica,ELCUSACA02,2045.0,3809.339
NAmerica,ELCUSACA02,2046.0,4026.471
NAmerica,ELCUSACA02,2047.0,4255.98
NAmerica,ELCUSACA02,2048.0,4498.57
NAmerica,ELCUSACA02,2049.0,4754.989
NAmerica,ELCUSACA02,2050.0,5026.023
NAmerica,ELCUSAMN02,2019.0,650.577
NAmerica,ELCUSAMN02,2020.0,687.66
NAmerica,ELCUSAMN02,2021.0,726.856
NAmerica,ELCUSAMN02,2022.0,768.287
NAmerica,ELCUSAMN02,2023.0,812.08
NAmerica,ELCUSAMN02,2024.0,858.368
NAmerica,ELCUSAMN02,2025.0,907.295
NAmerica,ELCUSAMN02,2026.0,959.011
NAmerica,ELCUSAMN02,2027.0,1013.675
NAmerica,ELCUSAMN02,2028.0,1071.454
NAmerica,ELCUSAMN02,2029.0,1132.527
NAmerica,ELCUSAMN02,2030.0,1197.081
