REGION,FUEL,TIMESLICE,YEAR,VALUE
NAmerica,ELCUSAAL02,S1,2019,0.0102893279687
NAmerica,ELCUSAAL02,S2,2019,0.00976552832935
NAmerica,ELCUSAAL02,S3,2019,0.00937897892457
NAmerica,ELCUSAAL02,S4,2019,0.00913756898501
NAmerica,ELCUSAAL02,S5,2019,0.00902586358374
NAmerica,ELCUSAAL02,S6,2019,0.00913182569416
NAmerica,ELCUSAAL02,S7,2019,0.00940370529556
NAmerica,ELCUSAAL02,S8,2019,0.00959409178711
NAmerica,ELCUSAAL02,S9,2019,0.0102449853376
NAmerica,ELCUSAAL02,S10,2019,0.0110508783837
NAmerica,ELCUSAAL02,S11,2019,0.0119426383333
NAmerica,ELCUSAAL02,S12,2019,0.0127913871243
NAmerica,ELCUSAAL02,S13,2019,0.0135346823089
NAmerica,ELCUSAAL02,S14,2019,0.0142034133852
NAmerica,ELCUSAAL02,S15,2019,0.0146248197608
NAmerica,ELCUSAAL02,S16,2019,0.0148693528099
NAmerica,ELCUSAAL02,S17,2019,0.0149581333863
NAmerica,ELCUSAAL02,S18,2019,0.0148454172404
NAmerica,ELCUSAAL02,S19,2019,0.0145794923447
NAmerica,ELCUSAAL02,S20,2019,0.0139239970897
NAmerica,ELCUSAAL02,S21,2019,0.0135523202633
NAmerica,ELCUSAAL02,S22,2019,0.0130687268055
NAmerica,ELCUSAAL02,S23,2019,0.0121441816176
NAmerica,ELCUSAAL02,S24,2019,0.0110990693397
NAmerica,ELCUSAAL02,F1,2019,0.00830062036452
NAmerica,ELCUSAAL02,F2,2019,0.00797468143446
NAmerica,ELCUSAAL02,F3,2019,0.00776854062391
NAmerica,ELCUSAAL02,F4,2019,0.0076553413956
NAmerica,ELCUSAAL02,F5,2019,0.00767657911444
NAmerica,ELCUSAAL02,F6,2019,0.00795250073057
NAmerica,ELCUSAAL02,F7,2019,0.00860993766611
NAmerica,ELCUSAAL02,F8,2019,0.00864448655366
NAmerica,ELCUSAAL02,F9,2019,0.00881613128325
NAmerica,ELCUSAAL02,F10,2019,0.00911514498943
NAmerica,ELCUSAAL02,F11,2019,0.00943336868488
