REGION,TECHNOLOGY,YEAR,VALUE
NAmerica,PWRHYDUSANE01,2019,1.0502
NAmerica,PWRHYDUSANE01,2020,1.0502
NAmerica,PWRHYDUSANE01,2021,1.0502
NAmerica,PWRHYDUSANE01,2022,1.0502
NAmerica,PWRHYDUSANE01,2023,1.0502
NAmerica,PWRHYDUSANE01,2024,1.0502
NAmerica,PWRHYDUSANE01,2025,1.0502
NAmerica,PWRHYDUSANE01,2026,1.0502
NAmerica,PWRHYDUSANE01,2027,1.0502
NAmerica,PWRHYDUSANE01,2028,1.0502
NAmerica,PWRHYDUSANE01,2029,1.0502
NAmerica,PWRHYDUSANE01,2030,1.0502
NAmerica,PWRHYDUSANE01,2031,1.0502
NAmerica,PWRHYDUSANE01,2032,1.0502
NAmerica,PWRHYDUSANE01,2033,1.0502
NAmerica,PWRHYDUSANE01,2034,1.0502
NAmerica,PWRHYDUSANE01,2035,1.0502
NAmerica,PWRHYDUSANE01,2036,1.0502
NAmerica,PWRHYDUSANE01,2037,1.0502
NAmerica,PWRHYDUSANE01,2038,1.0502
NAmerica,PWRHYDUSANE01,2039,1.0502
NAmerica,PWRHYDUSANE01,2040,1.0502
NAmerica,PWRHYDUSANE01,2041,1.0502
NAmerica,PWRHYDUSANE01,2042,1.0502
NAmerica,PWRHYDUSANE01,2043,1.0502
NAmerica,PWRHYDUSANE01,2044,1.0502
NAmerica,PWRHYDUSANE01,2045,1.0502
NAmerica,PWRHYDUSANE01,2046,1.0502
NAmerica,PWRHYDUSANE01,2047,1.0502
NAmerica,PWRHYDUSANE01,2048,1.0502
NAmerica,PWRHYDUSANE01,2049,1.0502
NAmerica,PWRHYDUSANE01,2050,1.0502
NAmerica,PWRHYDUSAFL01,2019,0.3015
NAmerica,PWRHYDUSAFL01,2020,0.3015
NAmerica,PWRHYDUSAFL01,2021,0.3015
NAmerica,PWRHYDUSAFL01,2022,0.3015
NAmerica,PWRHYDUSAFL01,2023,0.3015
NAmerica,PWRHYDUSAFL01,2024,0.3015
NAmerica,PWRHYDUSAFL01,2025,0.3015
NAmerica,PWRHYDUSAFL01,2026,0.3015
NAmerica,PWRHYDUSAFL01,2027,0.3015
NAmerica,PWRHYDUSAFL01,2028,0.3015
NAmerica,PWRHYDUSAFL01,2029,0.3015
NAmerica,PWRHYDUSAFL01,2030,0.3015
NAmerica,PWRHYDUSAFL01,2031,0.3015
NAmerica,PWRHYDUSAFL01,2032,0.3015
NAmerica,PWRHYDUSAFL01,2033,0.3015
NAmerica,PWRHYDUSAFL01,2034,0.3015
NAmerica,PWRHYDUSAFL01,2035,0.3015
NAmerica,PWRHYDUSAFL01,2036,0.3015
NAmerica,PWRHYDUSAFL01,2037,0.3015
NAmerica,PWRHYDUSAFL01,2038,0.3015
NAmerica,PWRHYDUSAFL01,2039,0.3015
NAmerica,PWRHYDUSAFL01,2040,0.3015
NAmerica,PWRHYDUSAFL01,2041,0.3015
NAmerica,PWRHYDUSAFL01,2042,0.3015
NAmerica,PWRHYDUSAFL01,2043,0.3015
NAmerica,PWRHYDUSAFL01,2044,0.3015
NAmerica,PWRHYDUSAFL01,2045,0.3015
NAmerica,PWRHYDUSAFL01,2046,0.3015
NAmerica,PWRHYDUSAFL01,2047,0.3015
NAmerica,PWRHYDUSAFL01,2048,0.3015
NAmerica,PWRHYDUSAFL01,2049,0.3015
NAmerica,PWRHYDUSAFL01,2050,0.3015
NAmerica,PWRHYDUSASE01,2019,1.3413
NAmerica,PWRHYDUSASE01,2020,1.3413
NAmerica,PWRHYDUSASE01,2021,1.3413
NAmerica,PWRHYDUSASE01,2022,1.3413
NAmerica,PWRHYDUSASE01,2023,1.3413
NAmerica,PWRHYDUSASE01,2024,1.3413
NAmerica,PWRHYDUSASE01,2025,1.3413
NAmerica,PWRHYDUSASE01,2026,1.3413
NAmerica,PWRHYDUSASE01,2027,1.3413
NAmerica,PWRHYDUSASE01,2028,1.3413
NAmerica,PWRHYDUSASE01,2029,1.3413
NAmerica,PWRHYDUSASE01,2030,1.3413
NAmerica,PWRHYDUSASE01,2031,1.3413
NAmerica,PWRHYDUSASE01,2032,1.3413
NAmerica,PWRHYDUSASE01,2033,1.3413
NAmerica,PWRHYDUSASE01,2034,1.3413
NAmerica,PWRHYDUSASE01,2035,1.3413
NAmerica,PWRHYDUSASE01,2036,1.3413
NAmerica,PWRHYDUSASE01,2037,1.3413
NAmerica,PWRHYDUSASE01,2038,1.3413
NAmerica,PWRHYDUSASE01,2039,1.3413
NAmerica,PWRHYDUSASE01,2040,1.3413
NAmerica,PWRHYDUSASE01,2041,1.3413
NAmerica,PWRHYDUSASE01,2042,1.3413
NAmerica,PWRHYDUSASE01,2043,1.3413
NAmerica,PWRHYDUSASE01,2044,1.3413
NAmerica,PWRHYDUSASE01,2045,1.3413
NAmerica,PWRHYDUSASE01,2046,1.3413
