REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
NAmerica,PWRBIOUSANW01,1,2019.0,5.095
NAmerica,PWRBIOUSANW01,1,2020.0,5.095
NAmerica,PWRBIOUSANW01,1,2021.0,5.095
NAmerica,PWRBIOUSANW01,1,2022.0,5.095
NAmerica,PWRBIOUSANW01,1,2023.0,5.095
NAmerica,PWRBIOUSANW01,1,2024.0,5.095
NAmerica,PWRBIOUSANW01,1,2025.0,5.095
NAmerica,PWRBIOUSANW01,1,2026.0,5.095
NAmerica,PWRBIOUSANW01,1,2027.0,5.095
NAmerica,PWRBIOUSANW01,1,2028.0,5.095
NAmerica,PWRBIOUSANW01,1,2029.0,5.095
NAmerica,PWRBIOUSANW01,1,2030.0,5.095
NAmerica,PWRBIOUSANW01,1,2031.0,5.095
NAmerica,PWRBIOUSANW01,1,2032.0,5.095
NAmerica,PWRBIOUSANW01,1,2033.0,5.095
NAmerica,PWRBIOUSANW01,1,2034.0,5.095
NAmerica,PWRBIOUSANW01,1,2035.0,5.095
NAmerica,PWRBIOUSANW01,1,2036.0,5.095
NAmerica,PWRBIOUSANW01,1,2037.0,5.095
NAmerica,PWRBIOUSANW01,1,2038.0,5.095
NAmerica,PWRBIOUSANW01,1,2039.0,5.095
NAmerica,PWRBIOUSANW01,1,2040.0,5.095
NAmerica,PWRBIOUSANW01,1,2041.0,5.095
NAmerica,PWRBIOUSANW01,1,2042.0,5.095
NAmerica,PWRBIOUSANW01,1,2043.0,5.095
NAmerica,PWRBIOUSANW01,1,2044.0,5.095
NAmerica,PWRBIOUSANW01,1,2045.0,5.095
NAmerica,PWRBIOUSANW01,1,2046.0,5.095
NAmerica,PWRBIOUSANW01,1,2047.0,5.095
NAmerica,PWRBIOUSANW01,1,2048.0,5.095
NAmerica,PWRBIOUSANW01,1,2049.0,5.095
NAmerica,PWRBIOUSANW01,1,2050.0,5.095
NAmerica,PWRBIOUSACA01,1,2019.0,6.069
NAmerica,PWRBIOUSACA01,1,2020.0,6.069
NAmerica,PWRBIOUSACA01,1,2021.0,6.069
NAmerica,PWRBIOUSACA01,1,2022.0,6.069
NAmerica,PWRBIOUSACA01,1,2023.0,6.069
NAmerica,PWRBIOUSACA01,1,2024.0,6.069
