REGION,EMISSION,YEAR,VALUE
"W","CO2",2019,54282406.3026031
"W","CO2",2020,55924580.2941738
"W","CO2",2021,22772058.6411854
"W","CO2",2022,22709691.0539778
"W","CO2",2023,22575476.7807887
"W","CO2",2024,23460405.9252154
"W","CO2",2025,22492426.5791068
"W","CO2",2026,22149923.5464561
"W","CO2",2027,21826479.0202868
"W","CO2",2028,21706097.4272885
"W","CO2",2029,21395530.6646898
"W","CO2",2030,20789476.286195
"W","CO2",2031,22247131.7391122
"W","CO2",2032,23555285.5120734
"W","CO2",2033,24613620.5828159
"W","CO2",2034,24957461.7946772
"W","CO2",2035,24816730.5613165
"W","CO2",2036,25394088.0982328
"W","CO2",2037,26584208.1304642
"W","CO2",2038,27691446.2521929
"W","CO2",2039,28143354.9965015
"W","CO2",2040,29189557.8871993
"W","CO2",2041,30283871.7260686
"W","CO2",2042,30088265.2880905
"W","CO2",2043,31064184.6548377
"W","CO2",2044,32066332.5765716
"W","CO2",2045,31458314.9885028
"W","CO2",2046,32449758.7946458
"W","CO2",2047,33427845.1753124
"W","CO2",2048,33873912.7968144
"W","CO2",2049,34281819.5505103
"W","CO2",2050,35238173.6518356
"MW","CO2",2019,24072659.1930582
"MW","CO2",2020,24564872.1003238
"MW","CO2",2021,25089462.5909161
"MW","CO2",2022,16477350.486621
"MW","CO2",2023,16743631.9940736
"MW","CO2",2024,17016857.6817804
"MW","CO2",2025,15598172.3260417
"MW","CO2",2026,15595125.9180697
"MW","CO2",2027,15592079.5100976
"MW","CO2",2028,15589033.1021256
"MW","CO2",2029,15586367.49515
"MW","CO2",2030,15583701.8881745
"MW","CO2",2031,15581036.2811989
"MW","CO2",2032,15578751.4752199
"MW","CO2",2033,15576466.6692409
"MW","CO2",2034,15574181.8632619
"MW","CO2",2035,15571897.0572828
"MW","CO2",2036,15569612.2513037
"MW","CO2",2037,15566641.8463396
"MW","CO2",2038,15555198.0696393
"MW","CO2",2039,15523677.7085168
"MW","CO2",2040,15476765.6165906
"MW","CO2",2041,15360595.9279165
"MW","CO2",2042,15262195.426807
"MW","CO2",2043,15140086.8346681
"MW","CO2",2044,14955496.0104654
"MW","CO2",2045,14718632.5880343
"MW","CO2",2046,14482514.4078757
"MW","CO2",2047,14068648.9824318
"MW","CO2",2048,14206452.0032517
"MW","CO2",2049,14328661.8872249
"MW","CO2",2050,14113976.0124208
"ME","CO2",2019,0
"ME","CO2",2020,0
"ME","CO2",2021,0
"ME","CO2",2022,0
"ME","CO2",2023,0
"ME","CO2",2024,156618.602179699
"ME","CO2",2025,615558.165880657
"ME","CO2",2026,2586454.06153089
"ME","CO2",2027,5252752.73905067
"ME","CO2",2028,7856069.55141838
"ME","CO2",2029,10406196.9036502
"ME","CO2",2030,12862290.8894082
"ME","CO2",2031,15250470.2201455
"ME","CO2",2032,17485417.8211123
"ME","CO2",2033,19618768.3190981
"ME","CO2",2034,21633307.6015568
"ME","CO2",2035,23556862.6294537
"ME","CO2",2036,25370382.8149349
"ME","CO2",2037,27077928.0099011
"ME","CO2",2038,28692963.8892628
"ME","CO2",2039,30228755.4212366
"ME","CO2",2040,31680553.5933484
"ME","CO2",2041,33457807.9310647
"ME","CO2",2042,34900786.5728667
"ME","CO2",2043,34591999.5580235
"ME","CO2",2044,34476738.3840434
"ME","CO2",2045,34499289.7060413
"ME","CO2",2046,34532596.9930054
"ME","CO2",2047,34576125.8814823
"ME","CO2",2048,34628125.9886894
"ME","CO2",2049,34691562.5113524
"ME","CO2",2050,34709126.2674304
"E","CO2",2019,67973023.445577
"E","CO2",2020,67276408.0186647
"E","CO2",2021,66590201.0467234
"E","CO2",2022,41413517.6548185
"E","CO2",2023,41289844.8007173
"E","CO2",2024,41005480.5912277
"E","CO2",2025,40593728.9201444
"E","CO2",2026,40330462.4330764
"E","CO2",2027,40233909.1957498
"E","CO2",2028,39553448.2363822
"E","CO2",2029,38737891.1993988
"E","CO2",2030,37326437.8476265
"E","CO2",2031,37358200.3873363
"E","CO2",2032,37389026.0815078
"E","CO2",2033,36672146.6619477
"E","CO2",2034,34066904.8972016
"E","CO2",2035,33811846.4827954
"E","CO2",2036,33741052.2761654
"E","CO2",2037,33211450.4197029
"E","CO2",2038,33161354.6186086
"E","CO2",2039,32752910.5847157
"E","CO2",2040,32761094.6694936
"E","CO2",2041,32821662.0531183
"E","CO2",2042,30563460.0331941
"E","CO2",2043,27615979.5248073
"E","CO2",2044,268306.035454592
"E","CO2",2045,274712.218885391
"E","CO2",2046,263466.689457334
"E","CO2",2047,253185.062551682
"E","CO2",2048,242903.43564603
"E","CO2",2049,233095.88688431
"E","CO2",2050,212887.590431883
