REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"W","S1","HYD",1,2021,271.082618895188
"W","S1","HYD",1,2022,278.414804223401
"W","S1","HYD",1,2023,287.271161615189
"W","S1","HYD",1,2024,295.383199770148
"W","S1","HYD",1,2025,305.198638035755
"W","S1","HYD",1,2026,317.004769558476
"W","S1","HYD",1,2027,325.081487063141
"W","S1","HYD",1,2028,330.43699629836
"W","S1","HYD",1,2029,336.374142071595
"W","S1","HYD",1,2030,343.550320107316
"W","S1","HYD",1,2031,342.068126522687
"W","S1","HYD",1,2032,340.734983051165
"W","S1","HYD",1,2033,339.643240095524
"W","S1","HYD",1,2034,325.355652213985
"W","S1","HYD",1,2035,353.284820536478
"W","S1","HYD",1,2036,360.740624572276
"W","S1","HYD",1,2037,251.547412737494
"W","S1","HYD",1,2038,376.24332083126
"W","S1","HYD",1,2039,251.297658449537
"W","S1","HYD",1,2040,268.879104393846
"W","S1","HYD",1,2041,382.229537901106
"W","S1","HYD",1,2042,365.517462545166
"W","S1","HYD",1,2043,373.101533541375
"W","S1","HYD",1,2044,148.153542016785
"W","S1","HYD",1,2045,362.514450548544
"W","S1","HYD",1,2046,366.667384875559
"W","S1","HYD",1,2047,158.551746885234
"W","S1","HYD",1,2048,379.455993166041
"W","S1","HYD",1,2049,386.892476342119
"W","S1","HYD",1,2050,392.416727200828
"W","S1","WN",1,2019,25.7338352904943
"W","S1","WN",1,2020,24.4471486995264
"W","S1","WN",1,2021,23.2247866658329
"W","S1","WN",1,2022,22.0635415841447
"W","S1","WN",1,2023,20.9603668042961
"W","S1","WN",1,2024,19.9123536376382
"W","S1","WN",1,2025,18.916731357039
"W","S1","WN",1,2026,17.9709016872629
"W","S1","WN",1,2027,17.0723468306256
"W","S1","WN",1,2028,16.2187329381323
"W","S1","WN",1,2029,15.4077951415464
"W","S1","WN",1,2030,14.6374065341484
"W","S1","WN",1,2031,13.9055321835634
"W","S1","WN",1,2032,13.2102636221403
"W","S1","WN",1,2033,12.5497498661937
"W","S1","WN",1,2034,11.9222548999685
"W","S1","WN",1,2035,11.3261461788476
"W","S1","WN",1,2036,10.7598371453863
"W","S1","WN",1,2037,10.2218447132773
"W","S1","WN",1,2038,9.71075477697208
"W","S1","WN",1,2039,9.22522221168036
"W","S1","WN",1,2040,8.76395937657738
"W","S1","WN",1,2041,8.3257591083899
"W","S1","WN",1,2042,7.90947172781006
"W","S1","WN",1,2043,7.51399354270232
"W","S1","WN",1,2044,7.13830133848271
"W","S1","WN",1,2045,6.7813833973603
"W","S1","WN",1,2046,6.44230847909575
"W","S1","WN",1,2047,6.12020282741508
"W","S1","WN",1,2048,5.81419268604432
"W","S1","WN",1,2049,5.52347327946799
"W","S1","WN",1,2050,5.24730881292906
"W","S1","GS",1,2019,12.610442232
"W","S1","GS",1,2020,12.1060302192
"W","S1","GS",1,2021,169.727937455128
"W","S1","GS",1,2022,169.263090507928
"W","S1","GS",1,2023,168.816805650328
"W","S1","GS",1,2024,168.388373322328
"W","S1","GS",1,2025,167.977083963928
"W","S1","GS",1,2026,167.582256397528
"W","S1","GS",1,2027,167.203209445528
"W","S1","GS",1,2028,168.398800926563
