REGION,TECHNOLOGY,YEAR,VALUE
"W","HYD",2019,16.624624
"W","HYD",2020,16.624624
"W","HYD",2021,16.624624
"W","HYD",2022,16.624624
"W","HYD",2023,16.624624
"W","HYD",2024,16.624624
"W","HYD",2025,17.724624
"W","HYD",2026,17.724624
"W","HYD",2027,17.724624
"W","HYD",2028,17.724624
"W","HYD",2029,17.724624
"W","HYD",2030,17.724624
"W","HYD",2031,17.724624
"W","HYD",2032,17.724624
"W","HYD",2033,17.724624
"W","HYD",2034,17.724624
"W","HYD",2035,17.724624
"W","HYD",2036,17.724624
"W","HYD",2037,17.724624
"W","HYD",2038,17.724624
"W","HYD",2039,17.724624
"W","HYD",2040,17.724624
"W","HYD",2041,17.724624
"W","HYD",2042,17.724624
"W","HYD",2043,17.724624
"W","HYD",2044,17.724624
"W","HYD",2045,17.724624
"W","HYD",2046,17.724624
"W","HYD",2047,17.724624
"W","HYD",2048,17.724624
"W","HYD",2049,17.724624
"W","HYD",2050,17.724624
"W","WN",2019,2.238349
"W","WN",2020,2.126432
"W","WN",2021,2.02011
"W","WN",2022,1.919104
"W","WN",2023,1.823149
"W","WN",2024,1.731992
"W","WN",2025,1.645392
"W","WN",2026,1.563123
"W","WN",2027,1.484966
"W","WN",2028,1.410718
"W","WN",2029,1.340182
"W","WN",2030,1.273173
"W","WN",2031,1.209514
"W","WN",2032,1.149039
"W","WN",2033,1.091587
"W","WN",2034,1.037007
"W","WN",2035,0.985157
"W","WN",2036,0.935899
"W","WN",2037,0.889104
"W","WN",2038,0.844649
"W","WN",2039,0.802417
"W","WN",2040,0.762296
"W","WN",2041,0.724181
"W","WN",2042,0.687972
"W","WN",2043,0.653573
"W","WN",2044,0.620895
"W","WN",2045,0.58985
"W","WN",2046,0.560357
"W","WN",2047,0.53234
"W","WN",2048,0.505723
"W","WN",2049,0.480436
"W","WN",2050,0.456415
"W","BIO",2019,0
"W","BIO",2020,0
"W","BIO",2021,0
"W","BIO",2022,0
"W","BIO",2023,0
"W","BIO",2024,0
"W","BIO",2025,0
"W","BIO",2026,0
"W","BIO",2027,0
"W","BIO",2028,0
"W","BIO",2029,0
"W","BIO",2030,0
"W","BIO",2031,0
"W","BIO",2032,0
"W","BIO",2033,0
"W","BIO",2034,0
"W","BIO",2035,0
"W","BIO",2036,0
"W","BIO",2037,0
"W","BIO",2038,0
"W","BIO",2039,0
"W","BIO",2040,0
"W","BIO",2041,0
"W","BIO",2042,0
"W","BIO",2043,0
"W","BIO",2044,0
"W","BIO",2045,0
"W","BIO",2046,0
"W","BIO",2047,0
"W","BIO",2048,0
"W","BIO",2049,0
"W","BIO",2050,0
"W","GS",2019,0.444305
"W","GS",2020,0.426533
"W","GS",2021,5.98004176726168
"W","GS",2022,5.96366376726168
"W","GS",2023,5.94793976726168
"W","GS",2024,5.93284476726168
"W","GS",2025,5.91835376726168
"W","GS",2026,5.90444276726168
"W","GS",2027,5.89108776726168
"W","GS",2028,5.93321216410745
"W","GS",2029,5.95455302144754
"W","GS",2030,6.00116027202117
"W","GS",2031,6.38179512138831
"W","GS",2032,6.72344282422516
"W","GS",2033,7.00017234276076
"W","GS",2034,6.99013734276076
"W","GS",2035,6.98050334276076
"W","GS",2036,6.97125434276076
"W","GS",2037,6.96237534276076
"W","GS",2038,6.95385234276076
"W","GS",2039,7.43204241864866
"W","GS",2040,7.53221598776854
"W","GS",2041,7.55964071503477
"W","GS",2042,8.40945249210634
"W","GS",2043,8.40250249210634
"W","GS",2044,8.47386351435415
"W","GS",2045,9.29398324476679
"W","GS",2046,9.40593556861136
"W","GS",2047,9.47580254099941
"W","GS",2048,9.47013654099941
"W","GS",2049,9.46469554099941
"W","GS",2050,9.52611559895314
"W","CL",2019,13.751573
"W","CL",2020,13.407784
"W","CL",2021,13.072589
"W","CL",2022,12.745774
"W","CL",2023,12.42713
"W","CL",2024,12.116452
"W","CL",2025,11.81354
"W","CL",2026,11.518202
"W","CL",2027,11.230247
"W","CL",2028,10.949491
"W","CL",2029,10.675753
"W","CL",2030,10.40886
"W","CL",2031,10.148638
"W","CL",2032,9.894922
"W","CL",2033,9.647549
"W","CL",2034,9.40636
"W","CL",2035,9.171201
"W","CL",2036,8.941921
"W","CL",2037,8.718373
"W","CL",2038,8.500414
"W","CL",2039,8.287904
"W","CL",2040,8.080706
"W","CL",2041,7.878688
"W","CL",2042,7.681721
"W","CL",2043,7.489678
"W","CL",2044,7.302436
"W","CL",2045,7.119875
"W","CL",2046,6.941878
"W","CL",2047,6.768331
"W","CL",2048,6.599123
"W","CL",2049,6.434145
"W","CL",2050,6.273291
"W","OI",2019,0
"W","OI",2020,0
"W","OI",2021,0
"W","OI",2022,0
"W","OI",2023,0
"W","OI",2024,0
"W","OI",2025,0
"W","OI",2026,0
"W","OI",2027,0
"W","OI",2028,0
"W","OI",2029,0
"W","OI",2030,0
"W","OI",2031,0
"W","OI",2032,0
"W","OI",2033,0
"W","OI",2034,0
"W","OI",2035,0
"W","OI",2036,0
"W","OI",2037,0
"W","OI",2038,0
"W","OI",2039,0
"W","OI",2040,0
"W","OI",2041,0
"W","OI",2042,0
"W","OI",2043,0
"W","OI",2044,0
"W","OI",2045,0
"W","OI",2046,0
"W","OI",2047,0
"W","OI",2048,0
"W","OI",2049,0
"W","OI",2050,0
"W","PV",2019,0.00195
"W","PV",2020,0.00185
"W","PV",2021,14.324337329669
"W","PV",2022,15.4606490052285
"W","PV",2023,16.9079188380999
"W","PV",2024,17.5854711819864
"W","PV",2025,17.5853911819864
"W","PV",2026,19.7056180151999
"W","PV",2027,21.2295466478996
"W","PV",2028,22.3726571587665
"W","PV",2029,23.7037807180904
"W","PV",2030,25.633107666988
"W","PV",2031,25.633047666988
"W","PV",2032,25.632997666988
"W","PV",2033,25.632948666988
"W","PV",2034,26.4328475465768
"W","PV",2035,27.8896488008805
"W","PV",2036,28.7555917982423
"W","PV",2037,29.1244753197942
"W","PV",2038,29.6611321620028
"W","PV",2039,30.0535111126712
"W","PV",2040,30.4355246605118
"W","PV",2041,30.980657231175
"W","PV",2042,31.3597561781969
"W","PV",2043,31.9446383803468
"W","PV",2044,32.385357655446
"W","PV",2045,33.2019784437703
"W","PV",2046,33.5847461942485
"W","PV",2047,34.0428988906192
"W","PV",2048,35.1397298518453
"W","PV",2049,36.3000096140137
"W","PV",2050,36.7856904773564
"W","NUC",2019,0
"W","NUC",2020,0
"W","NUC",2021,0
"W","NUC",2022,0
"W","NUC",2023,0
"W","NUC",2024,0
"W","NUC",2025,0
"W","NUC",2026,0
"W","NUC",2027,0
"W","NUC",2028,0
"W","NUC",2029,0
"W","NUC",2030,0
"W","NUC",2031,0
"W","NUC",2032,0
"W","NUC",2033,0
"W","NUC",2034,0
"W","NUC",2035,0
"W","NUC",2036,0
"W","NUC",2037,0
"W","NUC",2038,0
"W","NUC",2039,0
"W","NUC",2040,0
"W","NUC",2041,0
"W","NUC",2042,0
"W","NUC",2043,0
"W","NUC",2044,0
"W","NUC",2045,0
"W","NUC",2046,0
"W","NUC",2047,0
"W","NUC",2048,0
"W","NUC",2049,0
"W","NUC",2050,0
"W","FC",2019,0
"W","FC",2020,0
"W","FC",2021,0
"W","FC",2022,0
"W","FC",2023,0
"W","FC",2024,0
"W","FC",2025,0
"W","FC",2026,0
"W","FC",2027,0
"W","FC",2028,0
"W","FC",2029,0
"W","FC",2030,0
"W","FC",2031,0
"W","FC",2032,0
"W","FC",2033,0
"W","FC",2034,0
"W","FC",2035,0
"W","FC",2036,0
"W","FC",2037,0
"W","FC",2038,0
"W","FC",2039,0
"W","FC",2040,0
"W","FC",2041,0
"W","FC",2042,0
"W","FC",2043,0
"W","FC",2044,0
"W","FC",2045,0
"W","FC",2046,0
"W","FC",2047,0
"W","FC",2048,0
"W","FC",2049,0
"W","FC",2050,0
"W","P2G",2019,0
"W","P2G",2020,0
"W","P2G",2021,0
"W","P2G",2022,0
"W","P2G",2023,0
"W","P2G",2024,0
"W","P2G",2025,0
"W","P2G",2026,0
"W","P2G",2027,0
"W","P2G",2028,0
"W","P2G",2029,0
"W","P2G",2030,0
"W","P2G",2031,0
"W","P2G",2032,0
"W","P2G",2033,0
"W","P2G",2034,0
"W","P2G",2035,0
"W","P2G",2036,0
"W","P2G",2037,0
"W","P2G",2038,0
"W","P2G",2039,0
"W","P2G",2040,0
"W","P2G",2041,0
"W","P2G",2042,0
"W","P2G",2043,0
"W","P2G",2044,0
"W","P2G",2045,0
"W","P2G",2046,0
"W","P2G",2047,0
"W","P2G",2048,0
"W","P2G",2049,0
"W","P2G",2050,0
"W","MIN_HYD",2019,289.188663990705
"W","MIN_HYD",2020,524.274142464
"W","MIN_HYD",2021,418.432319913326
"W","MIN_HYD",2022,428.100953662553
